code,N
031001,1
111201,1
111202,1
111290,1
111301,1
112001,1
112002,1
112003,1
112004,1
112005,1
112006,1
112007,1
112008,1
112009,1
112010,1
112011,1
112012,1
112013,1
112014,1
112015,1
112016,1
112017,1
112019,1
112020,1
112090,1
121101,1
121102,1
121103,1
121190,1
121201,1
121202,1
121203,1
121204,1
121290,1
121301,1
121302,1
121303,1
121390,1
121901,1
121902,1
121903,1
121904,1
121990,1
122101,1
122102,1
122103,1
122104,1
122105,1
122106,1
122190,1
122202,1
122290,1
122301,1
122302,1
122390,1
131101,1
131102,1
131103,1
131104,1
131105,1
131190,1
132102,1
132103,1
132104,1
132105,1
132190,1
132201,1
132204,1
132290,1
132301,1
132302,1
132390,1
132401,1
132402,1
132403,1
132404,1
132406,1
132408,1
132409,1
132412,1
132490,1
133001,1
133002,1
133005,1
133006,1
133007,1
133090,1
134101,1
134102,1
134104,1
134105,1
134107,1
134190,1
134202,1
134204,1
134205,1
134207,1
134290,1
134301,1
134390,1
134402,1
134403,1
134404,1
134490,1
134501,1
134503,1
134590,1
134601,1
134602,1
134603,1
134605,1
134690,1
134901,1
134902,1
134903,1
134905,1
134907,1
134908,1
134909,1
134910,1
134912,1
134990,1
141101,1
141102,1
141103,1
141104,1
141190,1
141201,1
141202,1
141203,1
141290,1
142001,1
142002,1
142003,1
142004,1
142005,1
142090,1
143101,1
143102,1
143108,1
143109,1
143114,1
143190,1
143901,1
143903,1
143905,1
143906,1
143907,1
143909,1
143910,1
143990,1
211103,1
211104,1
211201,1
211202,1
211290,1
211301,1
211302,1
211390,1
211401,1
211402,1
211403,1
211405,1
211490,1
212002,1
212004,1
212090,1
213102,1
213105,1
213106,1
213108,1
213190,1
213201,1
213204,1
213205,1
213207,1
213290,1
213302,1
213303,1
213390,1
214102,1
214103,1
214104,1
214105,1
214107,1
214108,1
214109,1
214110,1
214111,1
214190,1
214201,1
214202,1
214203,1
214204,1
214205,1
214207,1
214208,1
214209,1
214210,1
214290,1
214301,1
214302,1
214303,1
214304,1
214305,1
214306,1
214390,1
214401,1
214402,1
214403,1
214404,1
214405,1
214406,1
214407,1
214408,1
214409,1
214410,1
214411,1
214412,1
214490,1
214501,1
214502,1
214503,1
214590,1
214602,1
214603,1
214604,1
214605,1
214607,1
214609,1
214690,1
214901,1
214902,1
214903,1
214905,1
214906,1
214907,1
214910,1
214911,1
214912,1
214913,1
214914,1
214916,1
214917,1
214918,1
214919,1
214921,1
214922,1
214924,1
214925,1
214926,1
214927,1
214930,1
214931,1
214932,1
214933,1
214990,1
215101,1
215103,1
215104,1
