code,count
031001,7
111201,2
111202,1
111290,3
111301,18
112001,31
112002,8
112003,1
112004,1
112005,7
112006,33
112007,54
112008,52
112009,14
112010,9
112011,89
112012,28
112013,19
112014,26
112015,32
112016,33
112017,72
112019,1
112020,9
112090,62
121101,898
121102,1
121103,60
121190,71
121201,55
121202,13
121203,51
121204,1
121290,96
121301,11
121302,42
121303,95
121390,89
121901,149
121902,1
121903,14
121904,304
121990,155
122101,22
122102,163
122103,2
122104,7
122105,1
122106,20
122190,32
122202,11
122290,1
122301,34
122302,17
122390,22
131101,15
131102,3
131103,8
131104,5
131105,6
131190,4
132102,87
132103,528
132104,16
132105,80
132190,182
132201,2
132204,1
132290,5
132301,682
132302,28
132390,152
132401,45
132402,23
132403,54
132404,170
132406,3
132408,3
132409,1
132412,2
132490,36
133001,23
133002,10
133005,60
133006,2
133007,1
133090,47
134101,4
134102,13
134104,6
134105,21
134107,18
134190,18
134202,9
134204,3
134205,4
134207,1
134290,9
134301,2
134390,7
134402,9
134403,31
134404,5
134490,17
134501,16
134503,3
134590,15
134601,1
134602,1
134603,23
134605,7
134690,5
134901,1
134902,1
134903,3
134905,1
134907,2
134908,4
134909,1
134910,1
134912,3
134990,46
141101,27
141102,11
141103,21
141104,4
141190,17
141201,101
141202,116
141203,3
141290,212
142001,26
142002,2
142003,11
142004,424
142005,2
142090,18
143101,1
143102,1
143108,2
143109,8
143114,1
143190,5
143901,2
143903,3
143905,15
143906,2
143907,83
143909,23
143910,30
143990,178
211103,9
211104,7
211201,1
211202,1
211290,2
211301,122
211302,26
211390,16
211401,1
211402,4
211403,28
211405,2
211490,1
212002,9
212004,9
212090,1
213102,1
213105,45
213106,12
213108,14
213190,14
213201,135
213204,11
213205,16
213207,60
213290,91
213302,2
213303,160
213390,82
214102,152
214103,40
214104,13
214105,11
214107,2
214108,1
214109,410
214110,4
214111,207
214190,116
214201,28
214202,849
214203,47
214204,13
214205,87
214207,135
214208,27
214209,1
214210,3
214290,285
214301,33
214302,16
214303,257
214304,4
214305,10
214306,78
214390,59
214401,12
214402,73
214403,7
214404,166
214405,18
214406,20
214407,86
214408,4
214409,4
214410,29
214411,25
214412,7
214490,58
214501,2
214502,24
214503,68
214590,7
214602,1
214603,2
214604,2
214605,1
214607,8
214609,2
214690,3
214901,4
214902,68
214903,94
214905,1
214906,33
214907,11
214910,3
214911,4
214912,6
214913,3
214914,34
214916,6
214917,5
214918,5
214919,6
214921,14
214922,13
214924,6
214925,33
214926,2
214927,4
214930,3
214931,179
214932,11
214933,5
214990,161
215101,33
215103,160
215104,86
215106,5
215190,23
215201,77
215202,13
215205,1
215290,6
215301,17
215302,2
215303,16
215390,5
216101,223
216102,65
216190,61
216201,28
216290,4
216301,10
216303,25
216304,111
216305,10
216390,15
216401,4
216402,1
216403,5
216490,3
216501,15
216503,22
216504,7
216505,28
216506,4
216507,31
216590,53
216601,214
216602,150
216603,1
216604,110
216605,21
216606,3
216690,89
221101,189
221102,2
221201,1
221202,9
221205,4
221209,7
221213,1
221214,13
221216,7
221217,1
221219,2
221222,1
221224,1
221230,5
221233,1
221234,5
221235,2
221236,26
221242,2
221244,7
221245,1
221247,7
221250,7
221251,5
221254,14
221255,4
221256,17
221257,2
221258,13
221260,13
221261,1
221266,2
221268,2
221290,12
222101,1623
222201,9
222202,15
222203,4
222205,11
222206,7
222209,3
222211,3
222212,7
222213,3
222214,6
222215,4
222216,5
222217,2
222218,19
222219,18
222220,4
222221,4
222290,6
223101,93
223205,3
223206,9
224001,4
225101,136
225205,1
225206,1
225211,3
225212,2
225214,1
225290,7
226101,29
226102,1
226201,5
226204,1
226205,1
226206,2
226207,1
226208,6
226209,2
227101,134
227201,1
227202,1
227203,8
227207,1
227211,3
227212,1
227290,23
228101,97
228201,5
228203,15
228206,5
228209,1
228290,2
229102,4
229103,138
229104,37
229105,1
229190,28
229201,1684
229202,27
229301,6
229302,9
229390,10
229402,275
229403,36
229404,19
229501,15
229901,9
229902,9
229903,180
229904,3
229905,28
229906,11
229907,12
229912,5
229913,11
229914,1
229990,67
231006,3
231005,9
231001,1
231003,2
231002,2
231090,3
232001,477
232002,29
232003,491
232090,389
233001,3880
233090,67
234102,1484
234101,303
234190,695
234201,2960
234202,43
234290,23
235102,1
235105,7
235106,39
235201,146
235202,49
235203,113
235204,39
235205,662
235290,174
235301,433
235401,23
235501,16
235502,35
235590,6
235601,7
235690,7
235903,3
235904,165
235905,5
235906,191
235909,137
235910,61
235911,3
235912,108
235913,5
235914,1215
235915,73
235916,47
235917,17
235919,448
235920,41
235921,276
235990,122
241101,1
241102,63
241103,195
241104,6
241105,61
241106,13
241107,41
241190,610
241201,3
241202,91
241203,8
241204,4
241205,1
241206,3
241207,2
241290,28
241301,2
241302,37
241303,1
241304,66
241306,128
241307,29
241308,10
241310,23
241311,7
241390,107
242101,1
242102,78
242104,5
242105,12
242106,21
242107,8
242108,382
242109,51
242110,20
242111,7
242112,163
242113,37
242116,1
242190,262
242201,2
242202,2
242203,4
242204,181
242208,1
242210,2
242211,319
242212,29
242214,10
242215,7
242217,607
242218,1
242219,2
242220,34
242221,48
242223,48
242224,8
242225,397
242226,3
242227,6
242228,139
242231,5
242232,16
242290,301
242301,17
242302,5
242303,17
242304,196
242305,8
242390,211
242307,1374
242308,1
242309,792
242310,164
242311,6
242312,4
242313,106
242402,31
242403,106
242490,50
243102,69
243103,177
243104,103
243105,36
243106,876
243107,58
243108,111
243109,314
243110,2
243190,219
243202,1
243203,13
243290,11
243301,41
243302,197
243303,11
243304,154
243305,1491
243306,9
243307,47
243308,15
243390,64
243401,4
243402,16
243490,14
244001,70
244002,10
244003,50
244090,56
251101,15
251102,31
251103,15
251105,1
251190,5
251201,6
251202,23
251290,34
251301,3
251302,4
251303,9
251390,4
251401,176
251402,4
251490,14
251901,15
251902,155
251903,26
251908,1
251990,47
252101,25
252102,20
252103,8
252190,13
252201,100
252202,5
252290,8
252301,12
252302,30
252390,17
