class,desc
111101,"Parlamentarzysta Czynnie uczestniczy w pracach Sejmu lub Senatu oraz Zgromadzenia Narodowego, a także ich organów określając, formułując i wpływając na politykę państwa na szczeblu krajowym; występuje z własnymi inicjatywami ustawodawczymi oraz bierze udział w uchwalaniu ustaw i uchwał; bierze udział w pracach komisji; kontroluje prace rządu i jego agend; uczestniczy w uroczystościach i spotkaniach z różnymi grupami społecznymi; reprezentuje interesy wyborców i działa w ich imieniu."
111102,"Polityk (minister, sekretarz / podsekretarz stanu) Pełni funkcję publiczne: Prezydenta Rzeczypospolitej Polskiej, Prezesa Rady Ministrów, ministra, sekretarza lub podsekretarza stanu; reprezentuje państwo, kieruje Radą Ministrów lub wyodrębnionym działem lub działami administracji rządowej, w tym sprawuje nadzór nad gospodarką finansową, polityką kadrową, działalnością kontrolną, działalnością obsługi prawnej, realizacją polityki, kontaktami międzynarodowymi działu administracji rządowej; może kierować strukturą partyjną lub partią (nie zajmując żadnych publicznych stanowisk), która nie weszła do parlamentu, ale skupia w swoich szeregach polityków, itp."
111103,"Przedstawiciel władzy samorządowej (marszałek, starosta, radny) Pełni funkcję marszałka województwa, starosty powiatowego, prezydenta miasta, wójta itp.; organizuje pracę, kieruje bieżącymi sprawami oraz reprezentuje jednostkę samorządu terytorialnego na zewnątrz; uczestniczy w pracach rady, komisji i instytucji samorządowych."
111190,Pozostali przedstawiciele władz publicznych Opis w opracowaniu Opis w opracowaniu
111201,"Wyższy urzędnik państwowy Odpowiada za profesjonalne, rzetelne i bezstronne wykonywania zadań publicznych przez kierowaną jednostkę administracji państwowej lub jej część; kieruje jednostkami organizacyjnymi struktury administracyjnej na szczeblu centralnym; nadzoruje interpretowanie i wdrażanie polityki rządowej i prawodawstwa przez organy administracji publicznej; planuje, organizuje, nadzoruje, kontroluje i ocenia działalność organów administracji publicznej na szczeblu wojewódzkim i krajowym, zgodnie z prawodawstwem i polityką ustanowionymi przez organy administracji publicznej i organy ustawodawcze; doradza organom administracji publicznej w kwestiach politycznych."
111202,"Wyższy urzędnik placówki dyplomatycznej Reprezentuje i działa w imieniu Rzeczpospolitej Polskiej wobec kraju przyjmującego; kieruje jednostkami organizacyjnymi wchodzącymi w skład ambasady / przedstawicielstwa dyplomatycznego; planuje, organizuje, nadzoruje, kontroluje i ocenia działalność podległych pracowników placówki dyplomatycznej; wykonuje zadania zgodnie z prawodawstwem i polityką ustanowionymi przez właściwe organy administracji publicznej i organy ustawodawcze; zastępuje ambasadora podczas jego nieobecności w placówce dyplomatycznej."
111290,Pozostali wyżsi urzędnicy administracji rządowej Opis w opracowaniu Opis w opracowaniu
111301,"Wyższy urzędnik samorządowy Odpowiada za profesjonalne, rzetelne i bezstronne wykonywanie zadań publicznych przez kierowaną jednostkę samorządu terytorialnego lub jej część."
111401,"Zawodowy działacz organizacji komercyjnej / pracodawców Prowadzi różnego rodzaju działalność na rzecz członków organizacji pracodawców i rozwoju rynku, na którym działają członkowie organizacji; reprezentuje zrzeszonych w organizacji przedsiębiorców wobec organizacji związkowych, ustawodawcy, instytucji europejskich, rządowych i samorządowych; prowadzi działania na rzecz poprawy warunków prawnych poprzez zmiany ustaw, rozporządzeń i regulacji; współpracuje z instytucjami rządowymi i samorządowymi w ramach projektów dotyczących sektorów gospodarki, w których działają członkowie organizacji; promuje standardy jakości i normy etyczne wśród członków organizacji."
111402,"Zawodowy działacz organizacji politycznej Podejmuje działania w ramach pełnionej funkcji w organizacji politycznej mające na celu uzyskanie poparcia społeczeństwa dla programu organizacji politycznej; zajmuje się określaniem, formułowaniem oraz realizacją polityki organizacji politycznej; kieruje wdrażaniem norm i zasad obowiązujących w organizacji politycznej oraz nadzoruje ich przestrzeganie przez członków organizacji; reprezentuje swoją organizację polityczną na zewnątrz i działa w jej imieniu."
