;esco code;esco name;kzis code;kzis name
0;3240.2;technik weterynarii;324002;Technik weterynarii
1;7223.4;operator obrabiarki sterowanej numerycznie;722308;Operator obrabiarek sterowanych numerycznie
2;2631.1;ekonomista;263102;Ekonomista
3;2250.3;lekarz weterynarii;225101;Lekarz weterynarii
4;2310.1.43;wykładowca akademicki w dziedzinie weterynarii;231016;Nauczyciel akademicki – nauki weterynaryjne
5;9111.1;sprzątacz domowy/sprzątaczka domowa;911102;Sprzątaczka domowa
6;9112.4;pokojowy/pokojowa;911203;Pokojowa
7;9121.2;prasowacz/prasowaczka;912103;Prasowaczka ręczna
8;9123.1;zmywacz okien;912301;Zmywacz okien (czyściciel szyb)
9;9129.3;czyściciel basenów pływackich;912901;Czyściciel basenów pływackich
10;9129.1;czyściciel dywanów;912902;Czyściciel dywanów
11;9214.1;pomocniczy robotnik w ogrodnictwie;921401;Pomocniczy robotnik konserwacji terenów zieleni
12;8111.5;górnik pracujący pod ziemią;931101;Robotnik górniczy dołowy
13;8111.3;górnik pracujący na powierzchni;931102;Robotnik naziemny w górnictwie
14;9312.1.1;pracownik melioracji;931203;Meliorant
15;9312.1;robotnik wykonujący prace proste w budownictwie drogowym i wodnym;931205;Pomocniczy robotnik drogowy
16;9313.1;pomocniczy robotnik budowlany;931301;Pomocniczy robotnik budowlany
17;9321.2;pakowacz ręczny/pakowaczka ręczna;932101;Pakowacz ręczny
18;7511.3;oprawiacz ryb;932904;Patroszacz ryb
19;9333.3;robotnik magazynowy;933304;Robotnik magazynowy
20;9333.8;pracownik magazynu;933304;Robotnik magazynowy
21;4321.1;magazynier;933304;Robotnik magazynowy
22;9333.6;robotnik portowy;933306;Robotnik portowy (doker)
23;9333.4;pracownik przeprowadzkowy;933303;Pracownik przeprowadzkowy
24;9334.1;pracownik rozkładający towar na półkach;933401;Pracownik rozkładający towar na półkach
25;9411.2;pracownik restauracji szybkiej obsługi;941101;Pracownik przygotowujący posiłki typu fast food
26;9412.2;pomocnik kuchenny;941201;Pomoc kuchenna
27;9510.1;dystrybutor ulotek;951002;Dystrybutor ulotek
28;9520.1;sprzedawca uliczny;952001;Uliczny sprzedawca produktów nieżywnościowych / żywności o długim terminie przydatności do spożycia
29;9611.1;pracownik zbiórki odpadów;961103;Pracownik zbiórki odpadów
30;9612.2;sortowacz surowców wtórnych;961201;Sortowacz surowców wtórnych
31;9613.1;zamiatacz ulic;961303;Zamiatacz
32;3435.7;statysta;962202;Statysta
33;9623.2;wybieracz monet/żetonów z automatów;962302;Wybieracz monet / żetonów z automatów
34;9623.1;odczytywacz liczników;962301;Odczytywacz liczników
35;9629.7;bileter/bileterka;962901;Bileter
36;9629.4;szatniarz/szatniarka;962905;Szatniarz
37;8322.4;parkingowy;962903;Parkingowy
38;8111.2;wiertacz;811305;Wiertacz
39;8114.7;szlifierz kamienia;811409;Szlifierz kamienia
40;8114.1;operator urządzeń do produkcji mas asfaltowych;811406;Operator urządzeń do produkcji mas asfaltobetonowych
41;8121.1;operator maszyn odlewniczych;812107;Operator maszyn i urządzeń odlewniczych
42;8122.8;operator urządzeń do emaliowania;812202;Operator urządzeń do emaliowania
43;8122.7;operator urządzeń do nakładania powłok galwanicznych;812203;Operator urządzeń do nakładania powłok galwanicznych
44;8122.6;operator urządzeń do zanurzeniowego nakładania powłok;812207;Operator urządzeń do zanurzeniowego nakładania powłok
45;8131.2.1;operator urządzeń do produkcji nawozów sztucznych;813119;Operator urządzeń do produkcji nawozów sztucznych
46;8131.4;operator urządzeń do produkcji wyrobów kosmetycznych;813127;Operator urządzeń do produkcji wyrobów kosmetycznych
47;8160.3;technik filtracji napojów;813129;Operator urządzeń filtrujących
48;8131.9;operator urządzeń granulujących;813130;Operator urządzeń granulujących
