class,desc
211101,"AstrofizykProwadzi obserwacje, pomiary i tworzy modele teoretyczne procesów fizycznych w galaktykach, gwiazdozbiorach, materii międzygwiezdnej, zewnętrznych warstwach Słońca, górnych warstwach atmosfery Ziemi; bada globalne zjawiska geodynamiczne wykorzystując aparat matematyczny, doskonaloną techni"
211102,"AstronomProwadzi obserwacje i pomiary parametrów fizykochemicznych ciał niebieskich: galaktyk, radiogalaktyk, gwiazdozbiorów, obiektów pozagalaktykowych metodami: fotometrii, spektrofotometrii, promieniowania X, radioastronomicznymi, obserwacji wizualnych w celu modelowania procesów dynamicznych ukł"
211103,"FizykZajmuje się badaniem teoretycznym i doświadczalnym właściwości materii, zjawiskami w niej zachodzącymi, ustalaniem praw, którym te zjawiska podlegają, tworzeniem teorii ogólnych, z których jako szczególne przypadki wynikają teorie pozwalające opisywać, przewidywać i badać nowe zjawiska; wykorzy"
211104,"Fizyk medycznyStosuje metody fizyki w technice radiacyjnej w celach medycznych; działa lub doradza w dziedzinie dozymetrii i napromieniania pacjentów w chorobach nowotworowych, stosując złożone procedury fizyczne i techniki medyczne oraz wyposażenie wykorzystujące promieniowanie jonizujące; zapewnia"
211190,Pozostali fizycy i astronomowie
211201,"HydrometeorologProwadzi badania, opracowuje i doskonali modele teoretyczne i metody pomiarów odnoszące się do atmosferycznego transportu wilgoci, opadów atmosferycznych, kondensacji i przemian z udziałem fazy stałej oraz do składu, struktury i dynamiki hydrosfery w powiązaniu z oddziaływaniem szerok"
211202,"MeteorologProwadzi badania, opracowuje i doskonali modele teoretyczne i metody pomiarów, odnoszące się do składu, struktury i dynamiki atmosfery, w powiązaniu z oddziaływaniem podłoża, a szczególnie hydrosfery i szeroko rozumianego środowiska naturalnego człowieka; przygotowuje prognozy pogody wykor"
211203,"SynoptykAnalizuje dane meteorologiczne, opracowuje mapy synoptyczne i przygotowuje prognozy pogody o różnym zasięgu czasowym, wykorzystywane w różnych dziedzinach gospodarki, a także jako informacje o charakterze powszechnym."
211204,"KlimatologBada klimat i związane z nim wieloletnie układy stanów pogody; zajmuje się badaniem procesów kształtujących klimat w powiązaniu z oddziaływaniem czynników geograficznych globalnych, regionalnych i lokalnych; wykonuje opracowania przydatne w wielu dziedzinach, jak np. w rolnictwie, leśnictw"
211290,Pozostali meteorolodzy
211301,"ChemikProwadzi badania z dziedziny chemii, tj. badania pierwiastków i związków chemicznych, ich właściwości chemicznych i fizycznych oraz możliwości prowadzenia nowych reakcji chemicznych i otrzymywania nowych związków, mogących mieć zastosowanie w produkcji różnych wyrobów."
211302,"Chemik – technologia chemicznaProwadzi badania nad opracowaniem zasad i metod prowadzenia reakcji chemicznych, procesów i operacji jednostkowych otrzymywania związków nieorganicznych i organicznych; uczestniczy we wdrożeniach nowych technologii."
211303,"AgrochemikZajmuje się produkcją substancji i preparatów chemicznych na potrzeby rolnictwa; wykonuje prace z zakresu nawożenia, a także zajmuje się niektórymi aspektami ochrony roślin i żywienia zwierząt oraz z zakresu zagospodarowywania odpadów powstałych w trakcie produkcji rolno-spożywczej."
211304,"PerfumiarzKomponuje zapachy perfum, olejków, kosmetyków, środków czystości oraz preparatów zapachowych do aromatyzowania pomieszczeń, odzieży, mebli i tkanin; opracowuje receptury różnych produktów zapachowych; dobiera kompozycje zapachowe do określonych wyrobów; doradza klientom wybór określonych p"
211390,Pozostali chemicy
211401,"GeofizykProwadzi badania cech fizycznych skał, gruntów i wód podziemnych za pomocą specjalistycznej aparatury oraz ulepsza metody tych badań; wykonuje badania z powierzchni ziemi, w otworach wiertniczych, w wyrobiskach górniczych, a także z samolotów - na potrzeby geologii podstawowej w celu rozpozn"
211402,"GeografZajmuje się poznawaniem i interpretacją zasad funkcjonowania środowiska geograficznego oraz działań społeczno-ekonomicznych i kulturowych człowieka w przestrzeni i czasie; bada współzależności między elementami środowiska geograficznego, dokonuje oceny ich stanu, analizy uwarunkowań, tendencj"
211403,"GeologProwadzi badania podstawowe dotyczące budowy, własności i historii Ziemi, procesów zachodzących w jej wnętrzu i na powierzchni powodujących jej przeobrażenia lub stosuje w praktyce wiedzę naukową z tego zakresu w takich dziedzinach, jak: wydobycie surowców naturalnych, wykorzystanie wód, inżyn"
211404,"Hydrograf morskiWykonuje i opracowuje morskie pomiary batymetryczne, sonarowe i magnetometryczne dla celów bezpieczeństwa żeglugi, wydawnictw nawigacyjnych, ochrony wybrzeża, morskich robót budowlanych, a także dla celów naukowo-badawczych, ochrony podwodnego dziedzictwa kulturowego, poszukiwań i ek"
211405,"HydrologProwadzi badania nad obiegiem wody w przyrodzie w powiązaniu z klimatem i innymi elementami środowiska przyrodniczego, obejmujące wody rzeczne (potamologia), jeziorne (limnologia), podziemne (hydrogeologia), wody bagien (paludologia) i lodowce (glacjohydrologia); przygotowuje prognozy i eksp"
211406,"OceanologProwadzi badania współczesnych oceanów pod kątem ich cech fizykochemicznych, fizyczno-geograficznych i biologicznych oraz pod kątem ich znaczenia dla życia na Ziemi, z uwzględnieniem ewentualnych zagrożeń dla tego życia."
211407,"PaleontologPaleontolog bada i analizuje formy życia, które występowały tysiące lat przed pojawieniem się człowieka na Ziemi. Dąży do określenia ścieżki ewolucji i interakcji z różnymi obszarami geologicznymi wszystkich rodzajów organizmów i roślin, pyłków i zarodników, bezkręgowców i kręgowców, ludz"
211490,Pozostali specjaliści nauk o Ziemi
212001,"AktuariuszOpracowuje wzory i podstawy matematyczne kalkulacji składek, opiniuje projekty taryf i zasady techniczne wszystkich rodzajów ubezpieczeń."
212002,"MatematykZajmuje się badaniem ogólnych form przestrzennych i stosunków ilościowych, oraz wykorzystaniem wyników tych badań do opisu rzeczywistości: przyrody, procesów i zjawisk występujących w technice, medycynie, gospodarce i innych dziedzinach."
212003,"DemografProwadzi badania populacji ludzkich, ich rozmiarów, struktury i rozwoju, w powiązaniu z zasadniczymi cechami ogólnymi, rozpatrywanymi głównie z punktu widzenia ilościowego."
212004,"StatystykProwadzi badania zjawisk masowych statystycznych, przede wszystkim ekonomicznych i społecznych; planuje, organizuje, nadzoruje i koordynuje przeprowadzanie badań oraz przetwarzanie ich wyników; opracowuje metody, modele i techniki badań statystycznych; analizuje i upowszechnia wyniki tych b"
212090,"Pozostali matematycy, aktuariusze i statystycy"
213101,"BotanikBotanik zajmuje się badaniem różnych gatunków roślin, zależności między nimi oraz ich występowaniem; zbiera informacje o rzadkich okazach flory, analizuje lokalizację ich stanowisk, prowadzi dokumentację poszczególnych gatunków i ich populacji; prowadzi prace konserwacyjne szeregu roślin z ca"
213102,"BiochemikBada, obserwuje i poznaje chemiczną budowę żywych organizmów i zachodzące w nich procesy biochemiczne, takie jak: utlenianie, akumulacja, adaptacja do zmienionego środowiska, molekularne podstawy metabolizmu, regulacja genetyczna tych procesów oraz czynniki chemiczne występujące w środowisk"
213103,"BiofizykBada fizyczne i fizykochemiczne podstawy procesów życiowych oraz wpływ zewnętrznych czynników fizycznych na te procesy, ze szczególnym uwzględnieniem badań żywej komórki i procesów życiowych na poziomie molekularnym; rozwija lub opracowuje koncepcje, teorie, metody oraz sposoby wykorzystywan"
213104,"BioinżynierProwadzi prace badawcze i wdrożeniowe związane z wykorzystywaniem systemów biologicznych w produkcji przemysłowej, ochronie środowiska, ochronie zdrowia i rolnictwie; projektuje i nadzoruje procesy biotechnologiczne oraz rozwiązuje techniczne i ekonomiczne problemy tych procesów."
213105,"BiologBada, obserwuje i poznaje organizmy roślinne i zwierzęce, ich budowę, funkcje życiowe, rozwój, rozmieszczenie geograficzne oraz zależności między nimi a środowiskiem naturalnym; klasyfikuje organizmy żywe w różne jednostki systematyczne; doskonali lub opracowuje koncepcje, teorie i metody dzia"
213106,"BiotechnologKieruje przemysłowymi procesami syntezy, biosyntezy oraz wyodrębniania substancji organicznych z surowców roślinnych i zwierzęcych, a także wytwarzania z nich produktów użytkowych; uczestniczy w badaniach, opracowywaniu i wdrażaniu nowych projektów procesowych oraz w projektowaniu, rozwo"
213107,"GenetykBada podstawy dziedziczenia różnych chorób, nienormalności, mutacje genów u człowieka, zjawiska zmienności organizmów roślinnych i zwierzęcych, procesy związane z powstawaniem i przekazywaniem cech dziedzicznych potomstwu; doskonali lub opracowuje koncepcje, teorie oraz metody, w celu stosowa"
213108,"MikrobiologZajmuje się poznawaniem, obserwacją, hodowlą i badaniem drobnoustrojów (bakterii i wirusów) i ich budową, rozwojem, czynnościami życiowymi i rolą w przyrodzie; bada środowisko ich występowania, jak: gleba, produkty spożywcze, tkanki ludzi, zwierząt i roślin, krew, kał, mocz, oraz wrażliwo"
213109,BioinformatykAnalizuje i przetwarza dane medyczne i biochemiczne pacjentów w placówkach naukowych klinik i szpitali; tworzy komputerowe bazy danych genów i ich mutacji; określa mutacje genów i chorób genetycznych przy pomocy markerów DNA; współpracuje z laboratoriami genetycznymi i farmaceutycznymi 
