id_ogl,kod1,kod2,kod3
109286,711102,931301,931290
109440,931203,834101,834190
109591,235205,235201,235290
109724,233003,235915,235107
109897,325402,325401,325490
110060,711501,711502,711590
110203,834205,834204,834290
110367,931203,931201,931290
110530,834205,834204,834290
110685,516402,516403,516490
110839,432201,432202,432290
110993,818904,932911,932990
111154,721204,721290,721201
111314,751104,751108,751190
111484,712690,712601,712603
111782,721204,722204,721290
111937,712204,712201,712290
112095,753303,753301,753390
112244,932911,932901,932990
112408,723307,723310,723390
112556,712905,712904,712990
112700,325102,325101,325190
112882,721204,721290,721201
113039,713201,713202,713290
113200,753303,753301,753390
113369,751204,751290,751201
113539,932911,932901,932990
113700,141201,141202,141290
113860,235205,235201,235290
114005,711202,711204,711290
114164,723104,723103,723190
114306,723307,723390,723303
114443,513101,513202,513290
1144533,432103,432101,432190
1144682,432103,432101,432190
1144836,432103,432101,432190
1145485,432103,432101,432190
1145633,432103,432101,432190
114593,711102,931301,931290
1147250,432103,432101,432190
114742,711102,721204,721290
114893,311410,311408,311490
115036,713201,713202,713290
115199,833203,833202,833290
115345,833203,833202,833290
115500,334402,431103,411003
115661,422602,422401,422690
115812,233001,235915,235107
115957,712618,712612,712690
116125,932911,932901,932990
116284,832202,832203,832290
116608,321402,321401,321490
116754,911203,911207,911290
116917,325511,325514,325590
117074,513290,513101,513202
117239,911207,911290,912901
117393,323011,323090,323001
117552,514102,514101,514105
1177707,941201,941202,941203
1177855,941201,941202,941203
1178009,512001,941201,941202
1178159,941201,941202,941203
1178303,941201,941202,941203
1178457,512001,941201,941202
117874,753303,753301,753390
1179023,512001,941201,941202
1179177,512001,941201,941202
1179333,512001,343402,343490
118034,432103,432101,432190
1181761,512001,343402,343490
118184,335505,335504,335590
118345,322001,235908,235990
118495,411001,411002,411003
118641,712905,712904,712990
118796,833203,833202,833290
118947,931301,711102,931290
119105,713207,713201,713290
119259,711102,931301,931290
119415,441990,411003,411004
119573,311909,311911,311990
1196359,821105,821901,821990
1196534,932911,932901,932990
1197037,932911,932901,932990
1197173,932911,932901,932990
119724,711102,931301,931290
1198414,932911,932901,932990
119879,723390,723303,723307
120035,931301,711102,931290
120202,341202,341201,341290
120359,522303,522301,522390
120513,235107,235106,235915
120653,911206,911207,911290
120802,833203,833202,833290
120958,432105,432101,432190
121118,832202,832203,832290
121268,515303,515301,515390
121428,611303,611306,611390
121573,912201,912202,912290
121891,834205,834204,834290
122051,411003,411004,411090
1221011,332203,243304,243305
122218,723390,723303,723307
122368,931301,711102,931290
122527,721204,722204,722290
122677,723308,723310,723390
122833,515303,515301,515390
1253977,524402,524404,524490
1255159,411003,411004,411090
1255281,331301,331301,242307
1255400,311203,311204,311290
1257377,332203,243304,243305
1257526,242307,441501,441502
1260019,325501,325590,222101
1262,411003,411004,411090
1384043,911207,911290,912901
1384209,911207,911290,912901
1384499,911101,911102,911290
141035,833203,833202,833290
141186,741103,741203,741290
1412,422602,334401,334490
141341,431101,431103,431190
141487,732201,732202,732290
141620,513101,513202,513290
141761,722312,722314,722390
141915,741101,741103,741190
142069,723103,723104,723190
142215,753303,753301,753390
142367,432103,432101,432190
142527,512001,512090,941201
142677,753402,753403,753490
142833,711501,711502,711590
142975,214401,214402,214490
143119,721204,722308,722390
143272,752205,752290,752201
143419,832202,832203,832290
143559,713201,713202,713290
143710,911206,911207,911290
143854,721204,721290,721201
144000,741101,741103,741190
144145,251402,251201,251290
144287,741290,741203,741208
144434,832202,832203,832290
144574,832202,832203,832290
144718,532902,532201,532290
144863,741103,741203,741290
145019,515303,515301,515390
145167,834401,432103,432101
