id_ogl,job.title,job.description
109286,PRACOWNIK BUDOWLANY,Chęci do pracy
109440,ROBOTNIK MELIORACYJNY,"uprawnienia pilarza, obsługa kosy spalinowej"
109591,NAUCZYCIEL TERAPEUTA - 446,"wykształcenie wyższe: pedagogika specjalna, oligofrenopedagogika, surdopedagogika, tyflopedagogika"
109724,NAUCZYCIEL LOGISTYKI,"wykształcenie: wyższe kierunkowe, przygotowanie pedagogiczne,
 staż pracy: brak wymagań"
109897,"MASAŻYSTA/ MASAŻYSTKA
(NR 2471)",Mile widziane doświadczenie zawodowe
110060,CIEŚLA,2 lata doświadczenia w pracach remontowo budowlanych - cieśla.
110203,OPERATOR DŹWIGU SAMOJEZDNEGO 30-TONOWEGO (NR 1448),"doświadczenie w zawodzie, uprawnienia operatora dźwigu 30 ton wzwyż"
110367,PRACOWNIK FIZYCZNY/DOPOSAŻENIE/20/0112,obsługa kosy i pilarki
110530,OPERATOR KOPARKI,mile widziane doświadczenie zawodowe
110685,OPIEKUN ZWIERZĄT,"Doświadczenie zawodowe mile widziane, mile widziane prawo jazdy kat. B"
110839,PRACOWNIK DZIAŁU PLANOWANIA PRACY,"Chęć do nauki, motywacja/chęć działania, umiejętność pracy w zespole."
110993,PRACOWNIK FIZYCZNY,"[Umiejętność 1] : umiejętność obsługi maszyn: ESD, SMIPACK FP 560/T450"
111154,SPAWACZ MIG TIG,"Mile widziane uprawnienia spawacza, mile widziane doświadczenie"
111314,ROZBIERACZ-WYKRAWACZ DROBIU,Wymagane doświadczenie w rozbiorze drobiu
111484,POMOCNIK HYDRAULIKA,"Wykształcenie nie jest istotne, możliwość przyuczenia.."
111782,ŚLUSARZ-SPAWACZ,"uprawnienia z zakresu spawania gazowego, elektrodą, półautomat"
111937,PARKIECIARZ,"umiejętności zawodowe, samodzielność"
112095,SZWACZKA,Język wietnamski mile widziany.
112244,PRACOWNIK FIZYCZNY 180,MILE WIDZIANE DOŚWIADCZENIE NA PODOBNYM STANOWISKU
112408,MECHANIK MASZYN I URZĄDZEŃ PRZEMYSŁOWYCH,"[Inne] : WYMAGANE DOŚWIADCZENIE
"
112556,MONTER ZABUDOWY I ROBÓT WYKOŃCZENIOWYCH W BUDOWNICTWIE,"[Umiejętność 1] : umiejętności budowlane w zakresie prac wykończeniowych
"
112700,ASYSTENTKA STOMATOLOGICZNA,"[Umiejętność 1] : asysta podczas zabiegów stomatologicznych
"
112882,SPAWACZ MIG,Doświadczenie w zawodzie spawacza.
113039,LAKIERNIK,"Umiejętność pracy w zespole, odpowiedzialność, sumienność.
 Doświadczenie zawodowe mile widziane."
113200,SZWACZKA,"dokładność, zaangażowanie"
113369,PIEKARZ,doświadczenie; umiejętność pracy w zespole
113539,PRACOWNIK FIZYCZNY,"wysoka kultura osobista, chęć do pracy, umiejętność rozróżniania wartości produktów"
113700,MENADŻER,"[Inne] : UKOŃCZONE 18 LAT, DOBRA ZNAJOMOŚĆ STANDARDÓW MCDONALD'S
"
113860,NAUCZYCIEL WSPOMAGAJĄCY TERAPEUTA,"terapia pedagogiczna
wymagane doświadczenie w pracy z dziećmi, cierpliwość"
114005,MURARZ,"Praca na terenie Człuchowa i Lutówka, transport zapewnia pracodawca."
114164,ELEKTROMECHANIK POJAZDÓW SAMOCHODOWYCH,"możliwość przyuczenia, chęci do pracy"
114306,MONTAŻYSTA SERWISANT,"Mile widziane wykształcenie technicznie, zdolności manualne, prawo jazdy kat. B."
114443,BARMAN/KELNER,Książeczka do celów sanitarno-epidemiologicznych.
1144533,MAGAZYNIER,Obsługa komputera oraz wózka paletowego.
1144682,MAGAZYNIER-SERWISANT,"Prace naprawcze i serwisowe urządzeń dźwignicowych
"
1144836,MAGAZYNIER,"wykształcenie średnie, staż pracy dowolny"
1145485,MAGAZYNIER,"wykształcenie zawodowe, min. rok doświadczenia zawodowego, prawo jazdy kat. B, uprawnienia na wózki widłowe"
1145633,MAGAZYNIER BEZ UDT,"dyspozycyjność, zdolności manualne, umiejętność pracy w zespole, zaangażowanie w wykonywane obowiązki"
114593,ROBOTNIK BUDOWLANY,"p, sumienność i uczciwość, dyspozycyjność, umiejętność pracy w zespole"
1147250,DORADCA SERWISOWY/MAGAZYNIER,"wykształcenie min. średnie, 
staż pracy: brak wymagań, 
pożądana znajomość języka angielskiego, 
znajomość branży motoryzacyjnej - konieczna, 
znajomość budowy samochodu, 
znajomość pakietu MS Office, 
prawo jazdy kat. B"
114742,PRACOWNIK BUDOWLANY Z UMIĘJTNOŚCIA SPAWANIA,"doświadczenie,umiejętność spawania,"
114893,TECHNIK ELEKTRONIK LUB TECHNIK MECHATRONIK LUB TECHNIK ELEKTROMECHANIK,"wykształcenie średnie lub wyższe techniczne (elektronik, mechatronik lub elektromechanik)"
115036,LAKIERNIK SAMOCHODOWY,Mile widziane doświadczenie zawodowe
115199,KIEROWCA SAMOCHODU CIĘŻAROWEGO,Pożądane min. 6 miesięcy doświadczenia na stanowisku kierowcy
115345,KIEROWCA KAT.  C+E,"Wymagania; doświadczenie zawodowe,motywacja do pracy. Praca na terenie woj.świętokrzyskiego."
115500,SEKRETARKA MEDYCZNA,osoba bezrobotna powyżej 30 roku życia
115661,RECEPCJONISTA,"obsługa komputera,komunikatywność,umiejętność pracy pod presją czasu,wysoka kultura"
115812,NAUCZYCIEL PRZEDMIOTÓW ZAWODOWYCH INFORMATYCZNYCH,"wykształcenie wyższe - informatyk, doświadczenie w pracy na wskazanym stanowisku"
115957,MONTER SIECI WODNYCH I KANALIZACYJNYCH,Pracodawca oferuje przyuczenie do pracy. Nie wymaga doświadczenia zawodowego.
116125,PRACOWNIK PRODUKCYJNY,Mile widziana książeczka sanepidowska
116284,KIEROWCA KAT. B,"doświadczenie zawodowe mile widziane, trasy międzynarodowe Polska - Niemcy"
116608,TECHNIK DENTYSTYCZNY,uprawnienia: zawód technika dentystycznego
116754,POKOJOWA,Mile widziane doświadczenie zawodowe.
116917,"STAŻYSTA/ MŁODSZY ASYSTENT W SEKCJI HIGIENY ŻYWNOŚCI, ŻYWIENIA I PRZEDMIOTÓW UŻYTKU ODDZIAŁU NADZORU SANITARNEGO","wiedza z zakresu bezpieczeństwa żywności;
mile widziana znajomość języka obcego;"
117074,PRACOWNIK RESTAURACJI,"-CHĘCI DO PRACY
 -OTWARTOŚĆ
 -KOMUNIKATYWNOŚĆ"
117239,OSOBA DO WYKONYWANIA CZYNNOŚCI SPRZĄTAJĄCYCH,wykształcenie brak lub niepełne podstawowe;
117393,BIOMASAŻYSTA,Umiejętności w wykonywaniu masaży
117552,FRYZJER,"umiejętność farbowania, modelowania
 znajomość koloryzacji włosów
 staż pracy obojętny"
1177707,POMOC KUCHENNA,Pracowitość.
1177855,POMOC KUCHENNA,mile widziane doświadczenie
1178009,KUCHARZ,"[Umiejętność 2] : Smażenie ryb
[Umiejętność 1] : Czyszczenie ryb
"
1178159,POMOC KUCHENNA,"umiejętności-gastronomiczne, doświadczenie zawodowe- mile widziane chęć do pracy"
1178303,POMOC KUCHENNA SEZON,"MOŻLIWOŚĆ PRZYUCZENIA, WIEK: OD 18"
1178457,KUCHARZ KUCHNI WIETNAMSKIEJ,kurs gastronomiczny - kuchnia wietnamska
117874,SZWACZKA MASZYNOWA,"wykształcenie zawodowe szwaczka, mile widziane doświadczenie zdolności manualne"
1179023,KUCHARZ,osoby chętne do pracy bez pożądanego doświadczenia będą przeszkolone w zawodzie
1179177,KUCHARZ / POMOCNIK KUCHARZA,"Mile widziane wykształcenie kierunkowe, umiejętność gotowania, mile widziane doświadczenie, osoby chętne do przyuczenia"
1179333,KUCHARZ/SZEF KUCHNI,"[Inne] : MILE WIDZIANA KSIĄŻECZKA DO CELÓW SANITARNO-EPIDEMIOLOGICZNYCH. MILE WIDZIANA ZNAJOMOŚĆ
KUCHNI AZJATYCKIEJ; PRACA 40 GODZIN TYGODNIOWO
"
118034,ROBOTNIK MAGAZYNOWY,Uprawnienia na wózek widłowy.
1181761,KUCHARZ,"Zamiłowanie do gotowania, wprowadzania własnych pomysłów kulinarnych uwzględniających potrzeby dzieci, dodatkowo preferujemy osoby z doświadczeniem i książeczką Sanepidu. Praca na jedną zmianę w godz. 7-15
"
118184,STAŻYSTA W SŁUŻBIE PRZYGOTOWAWCZEJ R2/1901-938/21,"wykształcenie średnie, prawo jazdy kat. C"
118345,INSTRUKTOR TERAPII ZAJĘCIOWEJ,"Wymagania: wykształcenie średnie o profilu terapeuta zajęciowy, preferowane wyższe pedagogiczne."
118495,PRACOWNIK DO SPRAW EWIDENCJI LUDNOŚCI I KWALIFIKACJI WOJSKOWEJ,"Wykształcenie wyższe, preferowane: administracja publiczna; umiejętność obsługi urządzeń biurowych"
118641,PRACOWNIK WYKOŃCZENIA WNĘTRZ,mile widziane doświadczenie przy pracach wykończeniowych
118796,KIEROWCA SAMOCHODU CIĘŻAROWEGO,aktualne badania psychologiczne
118947,POMOCNICZY ROBOTNIK BUDOWLANY,Predyspozycje psychofizyczne i zdrowotne : sprawny fizycznie
119105,MALARZ KONSTRUKCJI STALOWYCH - ŚRUCIARZ,Wymagania: mile widziany min. rok doświadczenia zawodowego.
119259,PRACOWNIK OGÓLNOBUDOWLANY,"Staż pracy min. 1 rok
Praca w Myślenicach i Krakowie."
119415,PRACOWNIK I STOPNIA WYKONUJĄCY ZADANIA W RAMACH PRAC INTERWENCYJNYCH,doświadczenie w administracji samorządowej
119573,KOORDYNATOR-TECHNOLOG PROJEKTÓW,"Autocad, wizualizacja 30, rysunek techniczny"
1196359,PRACOWNIK PRODUKCJI (KRAJACZ METALI),"minimum 2 lata doświadczenia na podobnym stanowisku, czytanie rysunku technicznego"
1196534,PRACOWNIK PRODUKCJI (ŻAGAŃ),Mile widziane doświadczenie w pracy na produkcji.
1197037,PRACOWNIK PRODUKCJI,"doświadczenie w pracy na produkcji, posiadanie książeczki sanepid lub chęć jej wyrobienia przed rozpoczęciem pracy"
1197173,"PRACOWNIK PRODUKCJI
(NR 2935)","gotowość do pracy w systemie trzyzmianowym i w dni wolne od pracy, mile widziana znajomość języka ukraińskiego z uwagi na pracę w brygadach ukraińskich. 
"
119724,PRACOWNIK OGÓLNOBUDOWLANY,mile widziane doświadczenie zawodowe
