class,name
111401,Zawodowy działacz organizacji komercyjnej / pracodawców
111403,Zawodowy działacz organizacji pozarządowej
111490,Pozostali zawodowi działacze organizacji członkowskich
122107,Kierownik domu aukcyjnego
132411,Kierownik do spraw transportu rurociągowego
134206,Położna oddziałowa
134916,Prezes / dyrektor sądu
143103,Kierownik ogrodu zoologicznego
143104,Kierownik zakładu bukmacherskiego / kolektury / loterii
211203,Synoptyk
213101,Botanik
213109,Bioinformatyk
213110,Fizjolog
213208,Klasyfikator gruntów
213209,Rzeczoznawca rolniczy
214307,Inżynier systemów bezpieczeństwa jądrowego i ochrony radiologicznej
214504,Inżynier dekontaminacji – skażenia promieniotwórcze
214505,Inżynier postępowania z odpadami promieniotwórczymi
214506,Inżynier inżynierii materiałów syntetycznych
214507,Inżynier papiernictwa
214601,Inżynier górnik – górnictwo otworowe
214610,Inżynier geolog – hydrologia górnicza
214904,Inżynier awionik
214909,Inżynier poligrafii
214928,Inżynier optyk
214935,Rzeczoznawca do spraw zabezpieczeń przeciwpożarowych
216202,Architekt zieleni wewnątrz budynków
216306,Projektant wyrobów skórzanych
216508,Kartograf
221218,Lekarz – specjalista diagnostyki laboratoryjnej
221232,Lekarz – specjalista medycyny nuklearnej
221237,Lekarz – specjalista medycyny sądowej
221239,Lekarz – specjalista medycyny transportu
221240,Lekarz – specjalista mikrobiologii lekarskiej
221273,Lekarz – specjalista intensywnej terapii
221274,Lekarz – specjalista medycyny lotniczej
221275,Lekarz – specjalista medycyny morskiej i tropikalnej
221277,Lekarz – specjalista pediatrii metabolicznej
223201,Położna – specjalista organizacji i zarządzania
223202,Położna – specjalista pielęgniarstwa epidemiologicznego
223203,Położna – specjalista pielęgniarstwa ginekologicznego
223204,Położna – specjalista pielęgniarstwa neonatologicznego
223207,Położna – specjalista promocji zdrowia i edukacji zdrowotnej
225201,Lekarz weterynarii – specjalista chirurgii weterynaryjnej
225203,Lekarz weterynarii – specjalista chorób koni
225204,Lekarz weterynarii – specjalista chorób owadów użytkowych
225207,Lekarz weterynarii – specjalista chorób ryb
225209,Lekarz weterynarii – specjalista chorób zwierząt futerkowych
225210,Lekarz weterynarii – specjalista chorób zwierząt nieudomowionych
225216,Lekarz weterynarii – specjalista użytkowania i patologii zwierząt
225217,Lekarz weterynarii – specjalista weterynaryjnej diagnostyki laboratoryjnej
226203,Lekarz dentysta – specjalista epidemiologii
226290,Pozostali lekarze dentyści specjaliści
227204,Diagnosta laboratoryjny – specjalista laboratoryjnej genetyki sądowej
227208,Diagnosta laboratoryjny – specjalista laboratoryjnej parazytologii medycznej
227214,Diagnosta laboratoryjny – specjalista laboratoryjnej toksykologii sądowej
228202,Farmaceuta – specjalista bromatologii
228204,Farmaceuta – specjalista farmacji klinicznej
228208,Farmaceuta – specjalista leku roślinnego
228210,Farmaceuta – specjalista toksykologii
228211,Farmaceuta – specjalista zdrowia publicznego
228212,Farmaceuta – specjalista zdrowia środowiskowego
229101,Inspektor dozoru jądrowego
229106,Rzeczoznawca do spraw bezpieczeństwa i higieny pracy
229401,Audiofonolog
229490,Pozostali audiofonolodzy i logopedzi
229909,Psychoonkolog
229910,Psychotraumatolog
229911,Specjalista radiofarmacji
242103,Makler nadzorujący
242114,Specjalista do spraw społecznej odpowiedzialności przedsiębiorstw
242115,Specjalista do spraw przewozów intermodalnych
242205,Doradca do spraw bezpieczeństwa w transporcie towarów niebezpiecznych
242206,Ekspert w Urzędzie Patentowym RP
243201,Specjalista etyki biznesu
251203,Specjalista do spraw technologii blockchain
251906,Inżynier internetu rzeczy
251910,Specjalista do spraw wirtualnej rzeczywistości
263402,Psycholog biznesu
263408,Grafolog
264103,Poeta
264206,Krytyk kulinarny
265205,Reżyser dźwięku
265206,Muzykolog
265207,Piosenkarz
265401,Asystent reżysera filmowego
265403,Producent filmowy
265404,Producent teatralny
265405,Producent telewizyjny
265411,Producent muzyczny
265490,"Pozostali producenci filmowi, reżyserzy i pokrewni"
265602,Konferansjer
265606,Spiker radiowy
311217,Technik dróg kolejowych i obiektów inżynieryjnych
311221,Technik dekarstwaS
311223,Technik obsługi przemysłu targowo-wystawienniczegoS
311607,Technik postępowania ze źródłami promieniotwórczymi
311608,Technik izolacji przemysłowychS
311709,Technik podziemnej eksploatacji kopalin innych niż węgiel kamiennyS
311901,Cechowniczy
311902,Monter urządzeń medycznych
311912,Technik garbarzS
311933,Stroiciel fortepianów i pianin
311934,Technik budowy fortepianów i pianin
311936,Technik procesów introligatorskichS
311942,Technik budowy jednostek pływającychS
311944,Technik ceramikS
311945,Technik budowy i strojenia fortepianów i pianinS
311947,Technik przemysłu jachtowegoS
312102,Osoby dozoru ruchu w górnictwie otworowym
312211,Mistrz produkcji w przemyśle odzieżowym
315106,Technik elektroautomatyki okrętowejS
315204,Kapitan portu morskiego
315210,Obserwator radarowy żeglugi śródlądowej
315212,Pilot żeglugi śródlądowej
315216,Technik żeglugi śródlądowejS
315309,Pilot sterowcowy zawodowy
315312,Pilot wiatrakowcowy zawodowy
315319,Pilot pionowzlotu
331190,Pozostali dealerzy i maklerzy aktywów finansowych
331501,Gemmolog
334301,Akredytowany asystent parlamentarny
335490,Pozostali urzędnicy organów udzielających licencji
