code,var,desc
031001,occupation_name,specjalista przechwytywania transmisji komunikacyjnych
031001,occupation_alternative_names,specjalistka przechwytywania transmisji komunikacyjnych w ruchu lotniczym
031001,occupation_description,Specjaliści przechwytywania transmisji komunikacyjnych pracują w siłach powietrznych w rozwoju działań wywiadowczych w miejscach takich jak siedziby główne i stanowiska. Wyszukują i przechwytują fale elektromagnetyczne emitowane w różnych językach.
031001,skills,radary dozoru; korzystać z różnych kanałów komunikacji; sporządzać rutynowe sprawozdania; przeprowadzać operacje szyfrowania sygnału; obsługiwać dwukierunkowy system radiowy; wywiad prowadzony przy wykorzystaniu sygnałów elektronicznych; obsługiwać urządzenia radiowe; systemy informacji geograficznej; obsługiwać urządzenia radarowe; parametry eksploatacyjne globalnego systemu nawigacji satelitarnej; operacje sił powietrznych; koordynować przypisanie radarów pracujących w trybie Mode S do kodów interrogatorów; prowadzić rejestry wojskowych informacji wywiadowczych; analizować przesyłane wiadomości; elektromagnetyzm; korzystać z systemów informacji geograficznej; obsługiwać urządzenia radionawigacyjne; identyfikować sygnały elektroniczne stosować przepisy w zakresie lotnictwa wojskowego; meteorologia lotnicza; kody wojskowe; wspólne przepisy w zakresie bezpieczeństwa lotniczego; gromadzić informacje techniczne; stosować zarządzanie częstotliwościami; przeprowadzać analizę danych; lotnictwo wojskowe; dokonywać pomiarów geofizycznych za pomocą urządzeń elektromagnetycznych; gromadzić dane; zasady działania urządzeń elektronicznych; tłumaczyć z języka obcego; przepisy dotyczące lotnictwa cywilnego; systemy sterowania lotem samolotów; przeprowadzać analizę ryzyka; stosować procedury obowiązujące w powietrznych siłach zbrojnych; radary; obszary geograficzne
111101,occupation_name,parlamentarzysta
111101,occupation_alternative_names,poseł do Parlamentu Europejskiego; senator; parlamentarzysta; posłanka; posłanka do Parlamentu Europejskiego; parlamentarzystka; poseł
111101,occupation_description,"Parlamentarzyści reprezentują interesy swoich partii politycznych w parlamentach. Pełnią oni obowiązki ustawodawcze, opracowują i proponują nowe przepisy oraz komunikują się z urzędnikami państwowymi, aby ocenić bieżące kwestie i operacje rządowe. Nadzorują wdrażanie przepisów i polityk oraz pełnią funkcję przedstawicieli rządu w społeczeństwie w celu zapewnienia przejrzystości."
111101,skills,zapewniać przejrzystość informacji; brać udział w debatach; procedura legislacyjna; przedstawiać wnioski ustawodawcze; analizować przepisy; prowadzić negocjacje polityczne; prawo konstytucyjne; wdrażanie polityki publicznej; podejmować decyzje legislacyjne; retoryka; zarządzać wdrażaniem polityki publicznej; przygotowywać wnioski ustawodawcze monitorować konflikty polityczne; brać udział w uroczystościach państwowych; prawo publiczne; oceniać czynniki ryzyka; kampanie polityczne; reprezentowanie rządu; stosować zasady zarządzania konfliktami; doradzać w kwestii aktów ustawodawczych; budować stosunki międzynarodowe; nawiązywać relacje sprzyjające współpracy; promować kampanie polityczne; pośredniczyć w kontaktach z organami na szczeblu lokalnym; politologia; prowadzić prezentacje publiczne; realizować politykę public relations; partie polityczne
111102,occupation_name,minister
111102,occupation_alternative_names,członek Rady Ministrów; członek rządu; premier; prezes Rady Ministrów
111102,occupation_description,Ministrowie pełnią funkcję decydentów w rządach krajowych lub regionalnych oraz w ministerstwach administracji rządowej. Pełnią oni obowiązki ustawodawcze i nadzorują pracę swoich departamentów.
111102,skills,przedstawiać wnioski ustawodawcze; brać udział w burzach mózgów; procedura legislacyjna; zarządzać wdrażaniem polityki publicznej; retoryka; reprezentowanie rządu; wdrażanie polityki publicznej; prowadzić negocjacje polityczne; stosować techniki zarządzania kryzysowego; prawo konstytucyjne; analizować przepisy; podejmować decyzje legislacyjne; przygotowywać wnioski ustawodawcze realizować politykę public relations; prowadzić prezentacje publiczne; zasady budżetowe; monitorować konflikty polityczne; przedstawiać sprawozdania; brać udział w uroczystościach państwowych; politologia; partie polityczne; pośredniczyć w kontaktach z organami na szczeblu lokalnym; finanse publiczne; promować kampanie polityczne; brać udział w debatach; budować stosunki międzynarodowe; stosować zasady zarządzania konfliktami; reprezentować interesy kraju; nawiązywać relacje sprzyjające współpracy; kampanie polityczne; prawo publiczne
111201,occupation_name,wyższy urzędnik państwowy
111201,occupation_alternative_names,szef Służby Cywilnej; dyrektor instytucji publicznej; urzędnik państwowy; specjalista administracji publicznej
111201,occupation_description,"Wyżsi urzędnicy państwowi kierują, monitorują i oceniają wdrażanie polityki rządu. Nadzorują pracowników i zarządzają zasobami wykorzystywanymi do wdrażania oraz sporządzają sprawozdania z procesu wdrażania. Komunikują się oni również z urzędnikami państwowymi i obywatelami, aby informować ich o politykach. Wyżsi urzędnicy państwowi mogą również uczestniczyć w projektowaniu i tworzeniu polityki publicznej."
