code,desc
011001,"Admirał, Admirał floty, Generał, Generał broni, Generał brygady, Generał dywizji, Kapitan, Kapitan marynarki, Komandor, Komandor podporucznik, Komandor porucznik, Kontradmirał, Major, Marszałek, OFICER  ZAWODOWY SIŁ ZBROJNYCH, Podporucznik, Podporucznik marynarki, Podpułkownik, Porucznik, Porucznik marynarki, Pułkownik, Wiceadmirał"
021001,"Bosman (Podoficer w Marynarce Wojennej), Bosmanmat, Chorąży, Chorąży marynarki, Kapral, Mat, Młodszy chorąży, Młodszy chorąży marynarki, Plutonowy, PODOFICER ZAWODOWY SIŁ ZBROJNYCH, Sierżant, Starszy bosman, Starszy chorąży, Starszy chorąży marynarki, Starszy chorąży sztabowy, Starszy chorąży sztabowy marynarki, Starszy kapral, Starszy mat, Starszy sierżant"
031001,"Marynarz, Starszy marynarz, Starszy szeregowy, Szeregowy, SZEREGOWY ZAWODOWY SIŁ ZBROJNYCH"
111101,"Marszałek sejmu / senatu, PARLAMENTARZYSTA, Poseł, Senator, Wicemarszałek sejmu / senatu"
111102,"Minister, POLITYK (MINISTER, SEKRETARZ  /  PODSEKRETARZ STANU), Prezes Rady Ministrów (Premier), Prezes urzędu centralnego / głównego, Wiceprezes urzędu centralnego / głównego, Wicewojewoda, Wojewoda"
111103,"Burmistrz, Prezydent miasta, PRZEDSTAWICIEL WŁADZY SAMORZĄDOWEJ (MARSZAŁEK, STAROSTA, RADNY), Radny miasta / gminy, Radny powiatu, Radny wojewódzki, Starosta powiatu, Wójt"
111190,"POZOSTALI PRZEDSTAWICIELE WŁADZ PUBLICZNYCH, Sołtys"
111201,"Członek zarządu w urzędzie państwowym, Radca generalny w urzędzie państwowym, WYŻSZY URZĘDNIK PAŃSTWOWY"
111202,"Ambasador, Attache, Konsul, Radca ambasady, Radca konsularny, Radca poselstwa, WYŻSZY URZĘDNIK PLACÓWKI DYPLOMATYCZNEJ"
111301,"Sekretarz gminy, Sekretarz miasta, Sekretarz powiatu, Sekretarz województwa, Skarbnik gminy, Skarbnik miasta, Skarbnik powiatu, Skarbnik województwa, Wicemarszałek województwa, Wiceprezydent miasta, Wicestarosta, WYŻSZY URZĘDNIK SAMORZĄDOWY, Zastępca burmistrza, Zastępca wójta"
111402,"Członek zarządu partii, Prezes partii, Skarbnik partii, Wiceprezes partii, ZAWODOWY DZIAŁACZ ORGANIZACJI POLITYCZNEJ"
111404,"Zawodowy działacz organizacji profesjonalnej, ZAWODOWY DZIAŁACZ ORGANIZACJI ZAWODOWEJ"
111405,"Przewodniczący organizacji związków zawodowych, ZAWODOWY DZIAŁACZ ORGANIZACJI ZWIĄZKOWEJ"
112001,"DYREKTOR DO SPRAW ADMINISTRACYJNYCH, Zastępca dyrektora do spraw administracyjnych"
112002,"DYREKTOR DO SPRAW BADAWCZO-ROZWOJOWYCH, Zastępca dyrektora do spraw badawczo-rozwojowych"
112003,"DYREKTOR DO SPRAW ENERGETYKI, Zastępca dyrektora do spraw energetyki"
112004,"DYREKTOR DO SPRAW INFORMATYKI / INFORMACJI, Zastępca dyrektora do spraw informatyki  /  informacji"
112005,"DYREKTOR DO SPRAW PERSONALNYCH, Menedżer personalny, Zastępca dyrektora do spraw osobowych i szkolenia"
112006,"Cfo - chief finance officer, DYREKTOR FINANSOWY, Główny kasjer banku, Zastępca dyrektora do spraw finansowych"
