;id_unit;job_title;kod_zawodu1;kod_zawodu2;kod_zawodu3;job_description
;1026821;Młodszy Inżynier Konstruktor;311803;311803;214990;Młodszy Inżynier Konstruktor - Sosnowiec , śląskie od ZETKAMA Sp. z o.o. Jesteśmy częścią Grupy Kapitałowej Mangata Holding S.A. zatrudniającej blisko 2 000 pracowników. Od ponad 70 lat zajmujemy się produkcją armatury przemysłowej i odlewów żeliwnych. Stale rozwijamy nasze konstrukcje i wdrażamy nowe produkty. Aktualnie poszukujemy Młodszego Inżyniera Konstruktora, który dołączy do naszego zespołu w Sosnowcu. Młodszy Inżynier Konstruktor Miejsce pracy: Sosnowiec Główne zadania badanie charakterystyki pracy nowych oraz obecnych konstrukcji zaworów bezpieczeństwa wg norm PN-EN oraz ASME opracowywanie planów badawczych projektowanie nowych konstrukcji zaworów bezpieczeństwa zgodnie z dyrektywą PED i normami ASME dobór materiałów na nowe konstrukcje zgodny z normami PN-EN oraz ASME projektowanie i dobór sprężyn przygotowywanie dokumentacji technicznej 2D i 3D w programie CAD (Solid Edge) opracowywanie dokumentacji technicznej nowych i obecnych wyrobów doradztwo oraz wsparcie techniczne i szkoleniowe odnośnie wdrażanego i produkowanego asortymentu gromadzenie informacji rynkowych o wyrobach własnych i konkurencyjnych przygotowywanie materiałów produktowych firmy Wymagania wykształcenie wyższe inżynierskie znajomość obsługi oprogramowania CAD 3D (preferowany Solid Edge), mile widziana znajomość oprogramowania CAE znajomość zasad konstruowania i rysunku technicznego podstawy w przeprowadzaniu oraz analizowaniu symulacji przepływowych i wytrzymałościowych mile widziane doświadczenie na podobnym stanowisku ale nie jest to warunek konieczny komunikatywność, umiejętność pracy zespołowej, kreatywność Oferujemy stabilną pracę - działamy z sukcesami na rynku ponad 70 lat! samodzielne stanowisko pracy, możliwość realizacji swoich pomysłów i wdrażania nowych rozwiązań rozwój zawodowy poprzez prowadzenie ciekawych projektów konstruktorskich pakiet benefitów: prywatna opieka medyczna, dofinansowane posiłki w kantynie pracowniczej, program grupowego ubezpieczenia, świadczenia z Funduszu Socjalnego: m. in. świadczenia urlopowe, piknik rodzinny, paczki mikołajkowe dla dzieci, wycieczki rodzinne udział w szkoleniach oraz dostęp do platform e-learningowych zgrany zespół współpracowników i przyjazną atmosferę pracy - ponad 50% osób czuje się tutaj tak dobrze, że jest z nami dłużej niż 10 lat :) Chętnie Cię poznamy. Nie wahaj się ani chwili i prześlij nam swoje CV. Może to właśnie Ty dołączysz do naszego zespołu :) Prosimy o aplikowanie poprzez przycisk znajdujący się po prawej stronie ogłoszenia. Skontaktujemy się tylko z wybranymi osobami. Zapewniamy pełną poufność wszystkich złożonych ofert w trakcie i po procesie rekrutacyjnym. Na aplikacji prosimy o dopisanie klauzuli: ”Wyrażam zgodę na przetwarzanie moich danych osobowych zawartych w ofercie pracy przez firmę ZETKAMA Sp. z o.o. dla potrzeb niezbędnych do realizacji procesu rekrutacyjnego zgodnie z przepisami Ustawy z 10.05.2018 r. o ochronie danych osobowych /tj. Dz. U. z 2018 r., poz. 1000/”. Jesteśmy częścią Grupy Kapitałowej Mangata Holding S.A. zatrudniającej blisko 2 000 pracowników. Od ponad 70 lat zajmujemy się produkcją armatury przemysłowej i odlewów żeliwnych. Stale rozwijamy nasze konstrukcje i wdrażamy nowe produkty. Aktualnie poszukujemy Młodszego Inżyniera Konstruktora, który dołączy do naszego zespołu w Sosnowcu.
;575027;Barista;513201;513201;513201;Twój zakres obowiązkówSprzedaż i obsługa Gości oparta na przyjaznych relacjachPrzygotowywanie kaw i pozostałych produktów dostępnych w naszych kawiarniachTroska o wizerunek swojego miejsca pracy poprzez dbałość o standardy i czystość w kawiarniBudowanie doskonałej atmosfery w Twojej kawiarni wraz z zespołem, w którym poczujesz się jak w gronie dobrych znajomych Nasze wymaganiaUśmiech i pozytywne nastawienie do ludziŁatwość w nawiązywaniu kontaktów z innymiZaangażowanie w wypełniane obowiązki - oczekujemy tego od siebie nawzajem, bo współpraca to u nas podstawaChęci do nauki - świat kawy ma wiele do odkrycia i chętnie Ci go pokażemy To oferujemyZatrudnienie w ramach umowy o pracęElastyczny grafik, który połączysz ze swoimi zajęciamiWyjątkowo pozytywną atmosferę pracy, której nie da się opisać – musisz to poczuć :)Mistrzowskie szkolenia, które od początku wprowadzą Cię w świat kawyMożliwość rozwoju kariery na Twój własny, indywidulany sposób
;82487;Doradca klienta biznesowego;331203;331203;331203;Twój zakres obowiązkówaktywne pozyskiwanie klientów oraz nawiązywanie relacji z przedsiębiorcami z segmentu małych firmkompleksowa obsługa w zakresie sprzedaży produktów bankowychspotkania biznesowe z klientamizarządzenie budowanym portfelem klientówrealizacja planów sprzedażowychzapewnienie wysokiej jakości obsługi klientówkształtowanie pozytywnego wizerunku firmyterminowe raportowanie wyników Nasze wymaganiawymagane minimum roczne doświadczenie w sprzedażymile widziane doświadczenie w branży finansowejznajomość zagadnień związanych z funkcjonowaniem firmumiejętność identyfikacji potrzeb klienta oraz doradztwa w zakresie wyboru odpowiedniego produktunastawienie na cel i rezultat, dynamizm w działaniuumiejętność pracy pod presją czasupraktyczna znajomość pakietu MS Officeprawo jazdy kat. B To oferujemyzatrudnienie na podstawie umowy o pracę bądź na życzenie B2Bbardzo atrakcyjny miesięczny system premiowyniezbędne narzędzia pracy ( laptop, telefon)pakiet profesjonalnych szkoleńmożliwość rozwoju zawodowego oraz awansu na wyższe stanowiskociekawą pracę w zgranym i dynamicznym zespole
;582803;Inspektor Ochrony Fizycznej;242390;242390;242390;Twój zakres obowiązkówNadzór pracy podległych pracownikówProwadzenie dokumentacji związanej z zarządzaniem pracownikamiNadzorowanie prawidłowej realizacji kontraktów w podległym terenie - kontakt z klientemDbanie o wysoką jakość świadczonych usługRekrutacja, organizacja pracy, rozliczanie pracowników ochronySporządzanie raportów i innej dokumentacji związanej z usługą Nasze wymaganiaUmiejętność zarządzania zespołem pracownikówZnajomość obsługi komputeraPrawo jazdy kat. BNiekaralnośćDyspozycyjnośćOdporność na stres To oferujemyZatrudnienie w oparciu o umowę o pracęAtrakcyjne wynagrodzenieStabilne zatrudnienie w firmie o ugruntowanej pozycji na rynkuWspółpracę z renomowanymi klientamiNiezbędne narzędzia do pracy: laptop, telefon, internet Warunkiem koniecznym rozpatrzenia aplikacji będzie określenie oczekiwań finansowych w kwocie netto oraz wskazanie przybliżonego terminu rozpoczęcia współpracy ze Spółką.Osoby zainteresowane prosimy o przesyłanie aplikacji klikając w przycisk aplikowania.Prosimy o umieszczenie w CV odpowiednich klauzul umożliwiających przeprowadzenie procesu rekrutacjiNiekompletne aplikacje nie będą rozpatrywane.
;303555;Asystent projektanta w branży drogowej;214207;214207;214207;Do twoich obowiązków należeć będzie:projektowanie odcinków dróg wyznaczonych przez projektantaprzygotowanie rysunków związanych z projektem drogowymkoordynacja prac projektowych pomiędzy zespołami branżowymitworzenie prezentacjiudział w spotkaniach i prezentacjachwykonywanie inwentaryzacji w terenieZgłoś się do nas, jeśli:posiadasz doświadczenie zawodowe na podobnym stanowisku w biurze projektowymmasz doświadczenie w projektowaniu dróg krajowych (mile widziane)posiadasz wiedzę z zakresu projektowania drógmasz wykształcenie wyższe kierunkowepotrafisz posługiwać się oprogramowaniem Inroads, PowerCivil lub Openroadsjesteś osobą zaangażowaną w realizację powierzonych zadań, systematyczną, dokładnącechują Cię: umiejętność pracy w zespole, dobra organizacja własnej pracyWybranym kandydatom zaoferujemy:możliwość rozwoju zawodowegozatrudnienie na podstawie umowy o pracęmożliwość częściowej pracy zdalnej
;186186;Pracowników ogrodniczych/traktorzystów;921490;921490;921490;Zatrudnimy : pracowników ogrodnictwa, kosiarzy, traktorzystów.Praca w centrum Elbląga od 15.04.2019 r. Stawka 15zł netto za godzinę pracy. Praca na dłuższy okres czasu.
;685149;Software QA Engineer (100% zdalnie);251401;251201;251202;Kto szuka: Cyclad Sp. z o.o. Stanowisko: Software QA Engineer (100% zdalnie) Lokalizacja: Rzeszów podkarpackie Opis stanowiska podany przez pracodawcę: Informacje o projekcie:Branża: rozwiązania do analizy danych w branży Retail/Health Lokalizacja: 100% zdalnie, możliwość pracy w biurze w centrum Warszawy Testy automatyczne (15%)/manualne (85%) Technologie wykorzystywane na projektach: Java, Selenium, Cypress, AWS, PostgreSQL, Alteryx Wynagrodzenie: 9 000- 13 000 PLN netto +VAT (B2B) / 8 000- 11 500 PLN brutto (UoP)-płatne dni urlopowe Oczekujemy:Doświadczenie w obszarze testowania (ze szczególnym naciskiem na testy manualne) Podstawowa znajomość języka Java Podstawowe doświadczenie w testach automatycznych (mile widziana znajomość Selenium lub pokrewnego narzędzia) Komunikatywna znajomość języka angielskiego (min. B2) Oferujemy:Pracę w wielonarodowym i multidyscyplinarnym środowisku Konkurencyjne wynagrodzenie i premię roczną uzależnioną od wyników Ubezpieczenie podróżne Ubezpieczenie zdrowotne Kontakt z najnowszymi technologiami Przyjazne środowisko pracy, w którym zespół jest nagradzany za sukces Możliwości podróży międzynarodowych Kontakt do pracodawcy: Kliknij tutaj, aby skontaktować się z pracodawcą lub wysłać swoje CV » Aplikuj na tą ofertę pracy
;491773;PRACOWNIK GOSPODARCZY;515303;515303;515303;Przepraszamy! Ogłoszenie na stanowisku: PRACOWNIK GOSPODARCZY wygasło z dniem 2021-07-20 Ta propozycja była złożona przez Centralna Baza Ofert PracyMożliwe przyczyny wygaśnięcia ogłoszenia to: oferta zamieszczona przez pracodawcę została wycofana z naszej bazyfirma zakończyła proces rekrutacji uzyskując odpowiednią ilość pracownikówfirma zmodyfikowała treść zlecenia i jest ono dostępne pod innym adresem urldostawca treści usunął ogłoszenie z bazy danychnieprawidłowy adres url ogłoszenia Jeżeli poszukujesz pracy w branży Sprzedaż, zajrzyj tutaj: Praca Sprzedaż Jeżeli poszukujesz pracy na stanowisku PRACOWNIK GOSPODARCZY, zajrzyj tutaj: Praca PRACOWNIK GOSPODARCZY Jeżeli poszukujesz pracy w mieście: Jędrzejów, zajrzyj tutaj: Praca Jędrzejów Pamiętaj, że możesz także rozpocząć poszukiwanie pracy od strony głównej, kliknij tutaj. Inne ogłoszenia, które mogły być w kręgu Twoich zainteresowań: OGRODNIK/SPRZEDAWCA Specjalista ds. Obsługi Klienta Doradca klienta Mama i Ja Koordynator dostawców zakupów online Przedstawiciel Handlowy PRZEDSTAWICIEL HANDLOWY (NR 2817) Przedstawiciel Handlowy - BHP Starszy Specjalista ds. Reklamacji Chargeback KASJER-FAKTURZYSTA KELNER-BARMAN
;1245548;Przedstawiciel Handlowy;332203;332203;332203;"Praca na stanowisku: Przedstawiciel Handlowy LeasingTeam Professional wspiera polskie i globalne przedsiębiorstwa w pozyskiwaniu kluczowych pracowników i zarządzaniu zasobami ludzkimi. Agencja specjalizuje się w rekrutacjach stałych na stanowiska średniego i wyższego szczebla oraz outsourcingu white-collar. Skutecznie realizuje zlecenia, pracując w oparciu o autorską metodologię ASSET®, która porządkuje działania rekruterów i zwiększa ich efektywność. Posiadamy biura w Gdańsku, Warszawie, Katowicach, Krakowie, Poznaniu oraz we Wrocławiu. Professional należy do LeasingTeam Group - największej w kraju grupy spółek doradztwa personalnego wyłącznie z polskim kapitałem, która od 15 lat skutecznie łączy kandydatów i pracodawców, świadcząc im kompleksowy zakres usług HR. Aktualnie dla jednego z naszych klientów poszukujemy kandydatów na stanowisko:Przedstawiciel Handlowy0043013Zakres obowiązków: Budowanie bazy klientów firmy; Pozyskiwanie klientów na terenie przypisanego województwa; Praca z klientami B2B lub B2C; Przygotowywanie ofert handlowych Oczekiwania: Doświadczenie w sprzedaży; Nastawienie na realizację wyznaczonych planów sprzedażowych; Gotowość do pracy w terenie; Komunikatywność; Znajomość branży energetycznej mile widziane Oferta: Umowa o pracę lub B2B; Stałe miesięczne wynagrodzenie + system premiowy (bez górnego progu); Samochód, notebook i telefon służbowy; Pakiet benefitów pozapłacowych; Możliwość rozwoju w strukturach firmy Zgodnie z obowiązującym prawem LeasingTeam Professional nie pobiera opłat od kandydatów za udział w procesach rekrutacyjnych. Uprzejmie informujemy, że skontaktujemy się jedynie z wybranymi Kandydatami. Agencja zatrudnienia - nr certyfikatu 16 570 Firma: LeasingTeam Group Lokalizacja: Poznań / wielkopolskie Data ważności: 2021-08-14 Typ umowy: Praca stała Podobne oferty: Przedstawiciel Handlowy (branża elektrotechniczna) Przedstawiciel Handlowy (branża elektrotechniczna) Chcesz dostawać powiadomienia o ofertach: &nbsp"
;65063;Kasjer / kasjerka;523002;523002;523002;Praca na stanowisku: Kasjer / kasjerka Jobman Group Sp. z o.o. - Agencja Pracy Tymczasowej działająca na podstawie wpisu do rejestru podmiotów prowadzących agencje zatrudnienia pod nr 2163 - poszukuje osób chętnych do podjęcia pracy tymczasowej na stanowisku:Kasjer / kasjerkaOferta pracy tymczasowej OBOWIĄZKI - profesjonalna i kompleksowa obsługa klientów,- sprawna obsługa przy kasie,- kompletacja zamówień złożonych online,- indywidualne podejście do potrzeb każdego klienta,- dbałość o wizerunek działu, dostępność towarów i ich prawidłowe oznakowanie.WYMAGANIA - mile widziana wiedza branżowa,- mile widziane doświadczenie na stanowisku związanym z obsługą klienta,- komunikatywność,- praca zespołowa,- chęć uczenia się.OFERUJEMY - umowę zlecenie,- szkolenie kasjerskie (nie wymagamy doświadczenia),- pracę w zgranym zespole,- pracę w systemie zmianowym (min. 130h),- obsługę administracyjną on-line (wszystkie formalności załatwiane bez wychodzenia z domu). DODATKOWE INFORMACJE Aplikacje powinny zawierać klauzulę: ’Na podstawie art. 7 ust. 1 RODO oświadczam, iż wyrażam zgodę na przetwarzanie przez administratora, którym jest Jobman Group Sp. z o.o. z siedzibą w Krakowie, ul. Bociana 22a, 31-231 Kraków moich danych osobowych w celu przeprowadzenia procedury rekrutacji na oferowane stanowisko. Mając na względzie, iż oferta dotyczy wykonywania pracy tymczasowej na rzecz pracodawcy użytkownika, którym jest klient Administratora, rozumiem i akceptuję fakt iż celem przeprowadzenia rekrutacji niezbędnym jest udostępnienie moich danych temu pracodawcy użytkownikowi.’ Firma: Jobman Group sp. z o.o. Lokalizacja: Szczecin / zachodnio-pomorskie Data ważności: 2021-08-15 Typ umowy: Praca tymczasowa Podobne oferty: New Business Manager/Key Account Manager Przedstawiciel handlowy Chcesz dostawać powiadomienia o ofertach: &nbsp
