"class","desc"
"324001","Diagnosta laboratoryjny - Pracownik laboratorium weterynaryjnego Badania i rozwój Farmaceutyka / Biotechnologia,Inne specjalista (Mid / Regular) praca z mikroskopem, przyjęcie materiału w laboratorium, rejestracja próbek, obsługa aparatów do badań, wykonywanie badań umowa o pracę, umowa zlecenie wykształcenie: analityka medyczna lub pokrewne biologiczne (mikrobiologia, biologia, biotechnologia), doświadczenie w pracy z mikroskopem będzie dodatkowym atutem, sumienność, skrupulatność, uczciwość i chęci do pracy, chęć do rozwoju"
"227101","Diagnosta Laboratoryjny  Badania i rozwój Inne,Inne specjalista (Mid / Regular) Wykonywanie i nadzorowanie badań, laboratoryjna interpretacja wyników badań oraz ich autoryzacja, Obsługa aparatów na swoim stanowisku pracy, Biegła obsługa informatycznego systemu laboratoryjnego, Prowadzenie dokumentacji laboratoryjnej umowa o pracę Aktualne prawo wykonywania zawodu Diagnosty Laboratoryjnego, Doskonała organizacja pracy i chęć ciągłego rozwoju zawodowego, Komunikatywność i umiejętność  współdziałania"
"227205","Diagnosta Laboratoryjny Badania i rozwój Chemia przemysłowa,Farmaceutyka / Biotechnologia,Inne specjalista (Mid / Regular), młodszy specjalista (Junior) Praca na stanowisku diagnosty laboratoryjnego w pracowni genetyki klinicznej. Wykonywanie oznaczeń z użyciem metod biologii molekularnej. umowa o pracę Aktualne prawo wykonywania zawodu Diagnosty Laboratoryjnego (wpis do KIDL) lub planowane pozyskanie wpisu do KIDL w najbliższym czasie., Ukończone studia magisterskie na kierunku """"""""analityka medyczna"""""""" (ewentualnie w trakcie ostatniego semestru), Gotowość do pracy zmianowej i w weekendy na pełen etat."
"227101","Diagnosta laboratoryjny - technik analityki - biotechnolog Obsługa klienta Farmacja / Medycyna,Inne,Lekarze / Opieka medyczna specjalista (Mid / Regular) Obsługa analizatorów Cobas 8000 pracujących w linii Rocha., Wykonywanie badań, zatwierdzanie wyników, podpisywanie elektronicznie. umowa o pracę Praca w systemie trzyzmianowym od poniedziałku do piatku"
"227101","Diagnosta laboratoryjny Badania i rozwój Farmaceutyka / Biotechnologia,Inne,Lekarze / Opieka medyczna specjalista (Mid / Regular) Praca na stanowisku diagnosty laboratoryjnego umowa o pracę Aktualne prawo wykonywania zawodu Diagnosty Laboratoryjnego (wpis do KIDL), Ukończone studia na kierunku analityka medyczna (mgr), Gotowość do pracy zmianowej i w weekendy na pełen etat"
"227101","Młodszy Diagnosta Laboratoryjny Badania i rozwój Farmaceutyka / Biotechnologia,Inne,Inne specjalista (Mid / Regular), młodszy specjalista (Junior) wykonywanie analiz i badań laboratoryjnych, obsługa aparatury medycznej, prowadzenie dokumentacji laboratoryjnej, praca zgodna z obowiązującymi standardami i procedurami, współpraca z członkami zespołu oraz pracownikami innych działów umowa o pracę, kontrakt B2B To stanowisko jest dla Ciebie, jeśli:, masz aktualne prawo wykonywania zawodu diagnosty laboratoryjnego lub tytuł zawodowy technika analityki medycznej, masz wykształcenie wyższe kierunkowe (analityka medyczna), umiesz pracować w zespole, potrafisz zorganizować sobie pracę, cechuje Cię odpowiedzialność i rzetelność w wykonywaniu powierzonych zadań, masz gotowość do pracy w trybie zmianowym"
"227101","Technik weterynarii - Diagnosta laboratoryjny  Badania i rozwój Chemia przemysłowa,Farmaceutyka / Biotechnologia,Lekarze / Opieka medyczna specjalista (Mid / Regular) Praca na pracowni:, hematologii, biochemii, analityki ogólnej umowa zlecenie Wykształcenie wyższe - kierunki Biologia, Chemia, Biotechnologia etc., Gotowość do pracy w trybie zmianowym, Umiejętność pracy w zespole, Mile widziane doświadczenie w wykonywaniu badań z zakresu biochemii, hematologii i analityki ogólnej"
"227101","Diagnosta Laboratoryjny  Badania i rozwój Farmaceutyka / Biotechnologia,Inne,Lekarze / Opieka medyczna specjalista (Mid / Regular), młodszy specjalista (Junior) Analiza i preparatyka nasienia przed inseminacją i zabiegami zapłodnienia pozaustrojowego, Wykonywanie podstawowych oraz  rozszerzonych badań nasienia, Krioprezerwacja nasienia, Obsługa analizatora immunochemicznego Cobas e411: przyjmowanie materiału do badań, weryfikowanie skierowań, walidacja wyników, Prowadzenie dokumentacji medycznej zgodnie z przyjętymi standardami umowa o pracę Wykształcenie wyższe, Aktualne prawo do wykonywania zawodu Diagnosty Laboratoryjnego, Dobra znajomość obsługi komputera i urządzeń laboratoryjnych, Skrupulatność, obowiązkowość i samodzielność"
"227205","Diagnosta Laboratoryjny - genetyka Badania i rozwój Farmaceutyka / Biotechnologia,Inne specjalista (Mid / Regular) Stanowisko diagnosty laboratoryjnego w laboratorium diagnostyki molekularnej chorób nowotworowych. Oferujemy pracę w dynamicznym zespole biotechnologów, biologów molekularnych i diagnostów. umowa o pracę Prawo wykonywania zawodu diagnosty laboratoryjnego wydane przez KIDL, Minimum 6 miesięcy doświadczenia w pracy z kwasami nukleinowymi DNA/ RNA, Znajomość technik PCR, sekwencjonowania, Praktyczna i teoretyczna znajomość standardowych metod biologii molekularnej stosowanych w badaniach laboratoryjnych, Komunikatywna znajomość języka angielskiego w mowie i piśmie, Bardzo dobra znajomość obsługi komputera, w tym systemu Windows i aplikacji MS Office, Komunikatywność, umiejętność pracy w zespole, Zdolności organizacyjne i odporność na stres, Systematyczność i konsekwencja w działaniu"
"227206","Diagnosta laboratoryjny Zdrowie / Uroda / Rekreacja Lekarze / Opieka medyczna specjalista (Mid / Regular) wykonywanie badań diagnostycznych z zakresu analityki ogólnej, biochemii i hematologii., Pobieranie oraz archiwizowanie próbek., Wykonywanie czynności związanych z kalibracją laboratoryjnych urządzeń pomiarowych., Prowadzenie i archiwizowanie dokumentacji obowiązującej w Laboratorium zgodnie z procedurami. umowa o pracę wykształcenie wyższe, aktualne prawo wykonywania zawodu Diagnosty Laboratoryjnego, dobra znajomość obsługi komputera i urządzeń laboratoryjnych, dobra organizacja pracy"
