kod,nazwa,synteza,zadania,zadania_zawodowe,zawodowe
011,Oficerowie zawodowi Sił Zbrojnych,"Oficerowie spełniają funkcję dowódczą, przywódczą i menedżerską na stanowiskach służbowych w jednostkach wojskowych w ramach Sił Zbrojnych RP oraz jednostkach organizacyjnych poza resortem obrony narodowej. Oficerowie posiadają stopnie wojskowe zgodnie ze stopniami wojskowymi zaszeregowanymi dla danego stanowiska służbowego, na które zostali wyznaczeni. Grupa oficerów obejmuje wszystkich żołnierzy zawodowych Sił Zbrojnych posiadających stopnie wojskowe od porucznika do generała.",,"Oficer jako dowódca odpowiada za dowodzenie podległego pododdziału (zespołu, formacji) w działaniach bojowych oraz w warunkach pokojowego funkcjonowania wojska. Jako przywódca wpływa na skuteczność oraz sprawność działania zespołu, posiada umiejętności interpersonalne, które są podstawą umiejętnej współpracy oraz motywowania do skutecznego działania podwładnych. W zakresie sprawowania funkcji menedżerskich oficer odpowiada za sprawną organizację i zarządzanie realizowanymi projektami i zadaniami. Oficerowie wykonują zadania specjalistyczno wojskowe, a niektórzy z nich zadnia typowe dla lekarzy, prawników, sędziów oraz nauczycieli akademickich.",
021,Podoficerowie zawodowi Sił Zbrojnych,"Podoficerowie spełniają w Siłach Zbrojnych RP funkcje dowódcze, szkoleniowe i wychowawcze w stosunku do podległych żołnierzy na szczeblu grupy, załogi, sekcji, urządzenia i drużyny oraz plutonu. Stanowią o merytorycznej i metodycznej jakości szkolenia i wychowania. Grupa ta obejmuje wszystkich żołnierzy zawodowych Sił Zbrojnych posiadających co najmniej stopień kaprala do stopnia starszego chorążego sztabowego włącznie.",,"Podoficerowie odpowiadają za praktyczną realizację zadań w jednostkach wojskowych i sztabach. Wykonują zadania typowe dla instruktorów, magazynierów oraz osób zatrudnionych w kancelariach i biurach.",
031,Szeregowi zawodowi Sił Zbrojnych,Żołnierze szeregowi posiadają stopień szeregowego lub starszego szeregowego i stanowią największy korpus kadry zawodowej Sił Zbrojnych RP.,,"Żołnierze szeregowi wykonują zadania przewidziane dla pojedynczego żołnierza, obejmujące zakres czynności prostych, takich jak: eksploatacja sprzętu, uzbrojenia i mienia wojskowego. Wykonują oprócz zadań typowo wojskowych, również miedzy innymi funkcje: kierowców, operatorów sprzętu, specjalistów.",
111,Przedstawiciele władz publicznych i wyżsi urzędnicy,"Przedstawiciele władz publicznych i wyżsi urzędnicy określają i formułują politykę administracji publicznej lub społeczności na szczeblu krajowym, regionalnym, wojewódzkim, lokalnym oraz organizacji członkowskich, doradzają w zakresie tej polityki i kierują jej realizacją. Opracowują, ratyfikują, zmieniają lub uchylają prawa, zasady i przepisy państwowe, a także planują, organizują, nadzorują, kontrolują i oceniają całość działalności organów administracji publicznej i agencji rządowych, tradycyjnych społeczności i organizacji członkowskich.",,"Zadania wykonywane w tej grupie obejmują: przewodniczenie lub uczestnictwo w działaniach organów ustawodawczych i zarządów jednostek administracji publicznej, zgromadzeń ustawodawczych, lokalnych społeczności i organizacji członkowskich; pełnienie funkcji w zarządach jednostek administracji publicznej lub oficjalnych komitetach; badanie kwestii istotnych dla społeczeństwa i propagowane interesów wyborców; formułowanie i doradztwo w zakresie polityki, budżetu, praw i przepisów; ustanawianie celów organizacji i formułowanie lub zatwierdzanie programów oraz polityki i procedur służących do ich realizacji; zalecanie, dokonywanie przeglądu i zatwierdzanie dokumentów, przedstawianych akt oraz sprawozdań; zapewnianie opracowania i wdrożenia odpowiednich systemów i procedur służących do kontroli budżetowej; przydzielanie prawa do użytkowania wspólnych terenów i innych zasobów; pełnienie obowiązków ceremonialnych i reprezentowanie władz, organizacji lub społeczności podczas oficjalnych wydarzeń, posiedzeń, negocjacji, kongresów oraz otwartych spotkań wyjaśniających. Do ich zadań może także należeć nadzorowanie innych pracowników.",
112,Dyrektorzy generalni i zarządzający,"Dyrektorzy generalni i zarządzający określają i formułują politykę oraz planują, koordynują i nadzorują działalność przedsiębiorstw (organizacji) zatrudniających 10 i więcej pracowników albo ich poszczególnych funkcji (pionów), zwykle wykorzystując kierunki określone przez organ założycielski, radę nadzorczą lub inne kierownicze gremium, wobec którego są odpowiedzialni za podejmowane działania i osiągnięte rezultaty.",,"Zadania wykonywane w tej grupie obejmują: określanie i formułowanie polityki, planowanie, koordynowanie i nadzorowanie działalności przedsiębiorstwa (organizacji) albo ich poszczególnych funkcji (pionów); ocenianie działalności i wyników przedsiębiorstwa lub organizacji; przedstawianie wyników organowi założycielskiemu, radzie nadzorczej lub gremium zarządzającemu; reprezentowanie przedsiębiorstwa lub organizacji wobec instytucji i osób zewnętrznych, włączając w to rząd i inne władze. Do ich zadań należy również nadzorowanie innych pracowników.",
121,Kierownicy do spraw obsługi biznesu i zarządzania,"Kierownicy do spraw obsługi biznesu i zarządzania planują, organizują, nadzorują, kontrolują i koordynują działania – organizacji lub przedsiębiorstw, które świadczą usługi w tym zakresie na rzecz innych przedsiębiorstw lub organizacji – dotyczące finansów, zarządzania, zasobów ludzkich, polityki i planowania.",,"Zadania wykonywane w tej grupie obejmują: formułowanie doradztwo i planowanie strategiczne, finansowe oraz zarządzanie nimi; ustanawianie procedur operacyjnych i administracyjnych i kierowanie nimi; wdrażanie, monitorowanie i ocenianie strategii i polityki; udzielanie doradztwa kierownikom wyższego szczebla i członkom zarządu w zakresie kwestii finansowych, strategicznych kwestii administracyjnych, kwestii politycznych, programowych i prawodawczych; zapewnianie zgodności z odpowiednim prawodawstwem, uregulowaniami i standardami; kontrolowanie rekrutacji, szkolenia i osiągnięć pracowników; przygotowywanie budżetu i nadzorowanie operacji finansowych; przeprowadzanie konsultacji z dyrektorem generalnym i kierownikami innych działów lub sekcji; kontrolowanie wydatków i zapewnianie efektywnego wykorzystywania zasobów; reprezentowanie przedsiębiorstwa lub organizacji podczas negocjacji, kongresów, seminariów, otwartych spotkań wyjaśniających i forów. Do ich zadań należy również nadzorowanie innych pracowników.",
122,"Kierownicy do spraw sprzedaży, marketingu i rozwoju","Kierownicy do spraw sprzedaży, marketingu i rozwoju planują, organizują, nadzorują, kontrolują i koordynują działania – organizacji lub przedsiębiorstw, które świadczą usługi w tym zakresie na rzecz innych przedsiębiorstw lub organizacji – dotyczące reklamy, public relations, badań i rozwoju, sprzedaży i marketingu.",,"Zadania wykonywane w tej grupie obejmują: formułowanie i wdrażanie strategii i planów dotyczących reklamy, public relations, rozwoju produktu, sprzedaży i marketingu w porozumieniu z innymi kierownikami; kierowanie przeprowadzaniem inicjatyw dotyczących nowych produktów lub badań naukowych; kampanie marketingowe, reklamowe i dotyczące public relations; określanie działań w zakresie sprzedaży, portfolio produktów, standardów obsługi klienta, metod sprzedaży i strategii dystrybucji oraz kierowanie nimi; ustalanie cen i warunków kredytów; ustalanie budżetów i zarządzanie nimi, kontrolowanie wydatków i zapewnianie efektywnego wykorzystywania zasobów; nadzorowanie rekrutacji, szkolenia i osiągnięć pracowników; reprezentowanie przedsiębiorstwa lub organizacji podczas zjazdów, wystaw handlowych i innych forów. Do ich zadań należy również nadzorowanie innych pracowników.",
131,"Kierownicy produkcji w rolnictwie, leśnictwie i rybactwie","Kierownicy produkcji w rolnictwie, leśnictwie i rybactwie planują, nadzorują i koordynują działalność produkcyjną w ramach działań na szeroką skalę w zakresie rolnictwa, ogrodnictwa, leśnictwa, akwakultury i rybołówstwa, takich jak: prowadzenie plantacji, dużych gospodarstw i spółdzielni do celów uprawy i zbioru roślin uprawnych, rozmnażania i hodowania zwierząt gospodarskich, ryb i skorupiaków, mięczaków i innych bezkręgowców wodnych oraz łowienia i dokonywania głównego odłowu sezonowego ryb i innych organizmów wodnych.",,"Zadania wykonywane przez kierowników ujętych w tej grupie obejmują: monitorowanie działalności rynkowej i planowanie produkcji w celu wywiązania się z zobowiązań umownych i w odpowiedzi na popyt na rynku; ustalanie budżetów i zarządzanie nimi, monitorowanie wielkości i kosztów produkcji, zapisywanie informacji takich, jak praktyki dotyczące zarządzania gospodarstwem i rybołówstwem oraz przygotowywanie sprawozdań finansowych i sprawozdań z działalności; prowadzenie rozmów z kontrahentami w celu ustalenia warunków sprzedaży plonów, ryb i zwierząt gospodarskich; zawieranie umów z rolnikami, kapitanami statków rybackich lub niezależnymi właścicielami w sprawie produkowania plonów i zarządzania produkcją; identyfikowanie i kontrolowanie toksyn środowiskowych, chwastów, organizmów szkodliwych i chorób; organizowanie działań takich, jak konserwacja budynków, instalowanie systemów i urządzeń doprowadzających wodę; nadzorowanie rekrutacji, szkolenia i osiągnięć pracowników i wykonawców. Do ich zadań należy również nadzorowanie innych pracowników.",
132,"Kierownicy w górnictwie, przemyśle, budownictwie i dystrybucji","Kierownicy w górnictwie, przemyśle, budownictwie i dystrybucji planują, organizują i koordynują działalność w zakresie przetwórstwa, wydobywania kopalin, budownictwa, dostarczania, magazynowania i transportu.",,"Zadania wykonywane w tej grupie obejmują: szczegółowe planowanie działalności pod kątem wymogów dotyczących produkcji, jakości i ilości, kosztów, zgodności z terminami i siły roboczej; kontrolowanie eksploatacji zakładu i procedur jakości przez planowanie konserwacji, wyznaczanie czasu pracy i dostarczanie urządzeń; przygotowywanie ofert przetargowych i ofert na zamówienia publiczne; ustalanie budżetów i zarządzanie nimi, monitorowanie wielkości i kosztów produkcji oraz dostosowywanie procedur i zasobów w celu ograniczenia kosztów do minimum; nadzorowanie zakupu i montażu nowych instalacji i urządzeń; kontrolowanie przygotowywania ewidencji produkcji i sprawozdań z produkcji; koordynowanie wdrażania wymogów dotyczących bezpieczeństwa i higieny; planowanie codziennych działań i kierowanie nimi; nadzorowanie rekrutacji, szkolenia i osiągnięć pracowników. Do ich zadań należy również nadzorowanie innych pracowników.",
133,Kierownicy do spraw technologii informatycznych i telekomunikacyjnych,"Kierownicy do spraw usług technologii informacyjnych i telekomunikacyjnych planują, nadzorują i koordynują zakup, rozwój, utrzymanie i użytkowanie systemów komputerowych i telekomunikacyjnych.",,"Zadania wykonywane w tej grupie obejmują: przeprowadzanie konsultacji z użytkownikami, kierownictwem, sprzedawcami i technikami w celu oceny potrzeb w zakresie dokonywania obliczeń i wymogów dotyczących systemu oraz określanie technologii w celu spełnienia tych potrzeb; formułowanie i nadzorowanie strategii, polityki i planów dotyczących technologii informacyjno-komunikacyjnych (TIC); nadzorowanie wyboru i instalacji zasobów TIC oraz organizowanie szkoleń dla użytkowników; kierowanie operacjami TIC, analizowanie przepływu pracy, ustalanie priorytetów, opracowywanie standardów oraz wyznaczanie terminów; nadzorowanie bezpieczeństwa systemów TIC; przydzielanie i dokonywanie przeglądu prac analityków systemów, programistów i innych pracowników do spraw urządzeń komputerowych oraz zarządzanie i kierowanie tymi pracami; ocenianie wykorzystywania technologii przez organizację i jej potrzeb w tym zakresie oraz wydawanie zaleceń dotyczących usprawnień, takich jak: wprowadzanie nowych wersji sprzętu komputerowego i oprogramowania; ustalanie budżetów i zarządzanie nimi, kontrolowanie wydatków i zapewnianie efektywnego wykorzystywania zasobów; ustanawianie procedur operacyjnych i administracyjnych oraz kierowanie nimi; nadzorowanie rekrutacji, szkolenia i osiągnięć pracowników; reprezentowanie przedsiębiorstwa lub organizacji podczas kongresów, seminariów i konferencji dotyczących TIC. Do ich zadań należy również nadzorowanie innych pracowników.",
134,Kierownicy/dyrektorzy w instytucjach usług wyspecjalizowanych,"Kierownicy/dyrektorzy w instytucjach usług wyspecjalizowanych planują, nadzorują i koordynują świadczenie usług opieki nad dziećmi, zdrowotnych, socjalnych, edukacyjnych i innych profesjonalnych usług oraz zarządzają oddziałami instytucji świadczących usługi finansowe i ubezpieczeniowe.",,"Zadania wykonywane przez kierowników/dyrektorów ujętych w tej grupie obejmują: formułowanie strategii i planów dotyczących świadczenia usług i prowadzenia placówek; ustanawianie standardów i celów; opracowywanie i wdrażanie programów i usług w celu spełniania potrzeb klientów; nadzorowanie i kierowanie przydzielaniem zasobów; współdziałanie z rodzicami, zarządami, organami finansującymi, przedstawicielami społeczności i powiązanymi agencjami w celu omawiania obszarów współpracy i koordynacji; monitorowanie i kontrolowanie wydatków; nadzorowanie rekrutacji, szkolenia i osiągnięć pracowników; przygotowywanie lub zlecanie przygotowania sprawozdań, budżetów i prognoz; reprezentowanie organizacji podczas negocjacji z innymi agencjami oraz podczas kongresów, seminariów, otwartych spotkań wyjaśniających i forów. Do ich zadań należy również nadzorowanie innych pracowników.",
